name,substation,v_nom,carrier,transformer_detail,total_capacity_mva,ownership,grid_circle,implicit
BIPTC 1st Block_400kV,BIPTC 1st Block,400,AC,1x500 MW,500 MW,POWER GRID,HVDC,False
BIPTC 2nd Block_400kV,BIPTC 2nd Block,400,AC,1x500 MW,500 MW,POWER GRID,HVDC,False
Aminbazar_400kV,Aminbazar,400,AC,3x520,1560,POWER GRID,Dhaka(N),False
Amtali Switching_400kV,Amtali Switching,400,AC,-,-,POWER GRID,Khulna,False
Ashuganj (N)_400kV,Ashuganj (N),400,AC,2x244/325,650,APSCL,Cumilla,False
Bhulta_400kV,Bhulta,400,AC,2x520,1040,POWER GRID,Dhaka(S),False
Bibiyana_400kV,Bibiyana,400,AC,2x520,1040,POWER GRID,Cumilla,False
Bogura (W)_400kV,Bogura (W),400,AC,3x750,2250,POWER GRID,Bogura,False
Gopalganj (N)_400kV,Gopalganj (N),400,AC,2x750,1500,POWER GRID,Khulna,False
Kaliakoir_400kV,Kaliakoir,400,AC,2x520,1040,POWER GRID,Dhaka(N),False
Korerhat_400kV,Korerhat,400,AC,2x1000,2000,POWER GRID,Chattogram,False
Meghnaghat_400kV,Meghnaghat,400,AC,3x750,2250,POWER GRID,Dhaka(S),False
Madunaghat_400kV,Madunaghat,400,AC,3x750,2250,POWER GRID,Chattogram,False
Rampal_400kV,Rampal,400,AC,2x520,1040,BIFPCL,Khulna,False
RNPP_400kV,RNPP,400,AC,2x520,1040,RNPP,HVDC,False
Gopalganj (N)_230kV,Gopalganj (N),230,AC,3x325,975,POWER GRID,Khulna,False
Kaliakoir_230kV,Kaliakoir,230,AC,"3x325, 1x300",1275,POWER GRID,Dhaka(N),False
Rahanpur_400kV,Rahanpur,400,AC,2x520,1040,POWER GRID,Bogura,False
Payra_400kV,Payra,400,AC,2x325,650,POWER GRID,Khulna,False
Agargaon_230kV,Agargaon,230,AC,2x300,600,POWER GRID,Dhaka(N),False
Aminbazar_230kV,Aminbazar,230,AC,3x225,675,POWER GRID,Dhaka(N),False
Ashuganj_230kV,Ashuganj,230,AC,2x300,600,APSCL,Cumilla,False
Baghabari_230kV,Baghabari,230,AC,"1x225, 1x300",525,POWER GRID,HVDC,False
Barapukuria_230kV,Barapukuria,230,AC,2x225 1x225/300,750,POWER GRID,Bogura,False
Barishal (N)_230kV,Barishal (N),230,AC,2x300,600,POWER GRID,Khulna,False
