line_name,bus0,bus1,Length(km),Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),s_nom (MVA)
Bheramara_400kVtoBangladesh Border_400kV_Line1,Bheramara_400kV,Bangladesh Border_400kV,27.35,0.031985,0.129273,1.4337e-05,400
Bheramara_400kVtoBangladesh Border_400kV_Line2,Bheramara_400kV,Bangladesh Border_400kV,27.35,0.031985,0.129273,1.4337e-05,400
Aminbazar_400kVtoMeghnaghat_400kV_Line1,Aminbazar_400kV,Meghnaghat_400kV,55.0,0.02755,0.081959,2.6525e-05,400
Aminbazar_400kVtoMeghnaghat_400kV_Line2,Aminbazar_400kV,Meghnaghat_400kV,55.0,0.02755,0.081959,2.6525e-05,400
Cumilla (N)_400kVtoBangladesh Border_400kV_Line1,Cumilla (N)_400kV,Bangladesh Border_400kV,28.0,0.031985,0.129273,1.4337e-05,400
Cumilla (N)_400kVtoBangladesh Border_400kV_Line2,Cumilla (N)_400kV,Bangladesh Border_400kV,28.0,0.031985,0.129273,1.4337e-05,400
Bibiyana_400kVtoKaliakoir_400kV_Line1,Bibiyana_400kV,Kaliakoir_400kV,169.5,0.031985,0.129273,1.4337e-05,400
Bibiyana_400kVtoKaliakoir_400kV_Line2,Bibiyana_400kV,Kaliakoir_400kV,169.5,0.031985,0.129273,1.4337e-05,400
Ashuganj (N)_400kVtoBhulta_400kV_Line1,Ashuganj (N)_400kV,Bhulta_400kV,69.0,0.031985,0.129273,1.4337e-05,400
Ashuganj (N)_400kVtoBhulta_400kV_Line2,Ashuganj (N)_400kV,Bhulta_400kV,69.0,0.031985,0.129273,1.4337e-05,400
Payra_400kVtoGopalganj (N)_400kV_Line1,Payra_400kV,Gopalganj (N)_400kV,163.55,0.013593,0.075809,2.8674e-05,400
Payra_400kVtoGopalganj (N)_400kV_Line2,Payra_400kV,Gopalganj (N)_400kV,163.55,0.013593,0.075809,2.8674e-05,400
BSRM_230kVtoMirsarai_230kV_Line1,BSRM_230kV,Mirsarai_230kV,16.5,0.027187,0.129273,1.4337e-05,400
BSRM_230kVtoMirsarai_230kV_Line2,BSRM_230kV,Mirsarai_230kV,16.5,0.027187,0.129273,1.4337e-05,400
Bheramara_400kVtoBangladesh Border_400kV_Line1,Bheramara_400kV,Bangladesh Border_400kV,28.0,0.031985,0.129273,1.4337e-05,400
Bheramara_400kVtoBangladesh Border_400kV_Line2,Bheramara_400kV,Bangladesh Border_400kV,28.0,0.031985,0.129273,1.4337e-05,400
Payra_400kVtoPayra_400kV_Line1,Payra_400kV,Payra_400kV,1.2,0.06397,0.2362,7.1685e-06,400
Payra_400kVtoPayra_400kV_Line2,Payra_400kV,Payra_400kV,1.2,0.06397,0.2362,7.1685e-06,400
Banskhali_400kVtoMadunaghat_400kV_Line1,Banskhali_400kV,Madunaghat_400kV,55.5,0.015992,0.075809,2.8674e-05,400
Banskhali_400kVtoMadunaghat_400kV_Line2,Banskhali_400kV,Madunaghat_400kV,55.5,0.015992,0.075809,2.8674e-05,400
Matarbari_132kVtoMadunaghat_400kV_Line1,Matarbari_132kV,Madunaghat_400kV,3.5,0.015992,0.075809,2.8674e-05,400
Matarbari_132kVtoMadunaghat_400kV_Line2,Matarbari_132kV,Madunaghat_400kV,3.5,0.015992,0.075809,2.8674e-05,400
Matarbari_132kVtoMadunaghat_400kV_Line3,Matarbari_132kV,Madunaghat_400kV,3.5,0.015992,0.075809,2.8674e-05,400
Matarbari_132kVtoMadunaghat_400kV_Line4,Matarbari_132kV,Madunaghat_400kV,3.5,0.015992,0.075809,2.8674e-05,400
Monakosa_400kVtoRahanpur_400kV_Line1,Monakosa_400kV,Rahanpur_400kV,30.0,0.015992,0.075809,2.8674e-05,400
Monakosa_400kVtoRahanpur_400kV_Line2,Monakosa_400kV,Rahanpur_400kV,30.0,0.015992,0.075809,2.8674e-05,400
Rampal_400kVtoGopalganj_132kV_Line1,Rampal_400kV,Gopalganj_132kV,96.7,0.013593,0.075809,2.8674e-05,400
Rampal_400kVtoGopalganj_132kV_Line2,Rampal_400kV,Gopalganj_132kV,96.7,0.013593,0.075809,2.8674e-05,400
Gopalganj_132kVtoAminbazar_400kV_Line1,Gopalganj_132kV,Aminbazar_400kV,75.3,0.013593,0.075809,2.8674e-05,400
Gopalganj_132kVtoAminbazar_400kV_Line2,Gopalganj_132kV,Aminbazar_400kV,75.3,0.013593,0.075809,2.8674e-05,400
Gopalganj_132kVtoAminbazar_400kV_Line1,Gopalganj_132kV,Aminbazar_400kV,7.5,0.013593,0.075809,2.8674e-05,400
Gopalganj_132kVtoAminbazar_400kV_Line2,Gopalganj_132kV,Aminbazar_400kV,7.5,0.013593,0.075809,2.8674e-05,400
Bogura (W)_400kVtoRahanpur_400kV_Line1,Bogura (W)_400kV,Rahanpur_400kV,105.0,0.027187,0.129273,1.4337e-05,400
Bogura (W)_400kVtoRahanpur_400kV_Line2,Bogura (W)_400kV,Rahanpur_400kV,105.0,0.027187,0.129273,1.4337e-05,400
Barguna_132kVtoPayra_400kV_Line1,Barguna_132kV,Payra_400kV,27.8,0.06397,0.2362,7.1685e-06,400
Matarbari_132kVtoBanskhali_400kV_Line1,Matarbari_132kV,Banskhali_400kV,38.0,0.015992,0.075809,2.8674e-05,400
Matarbari_132kVtoBanskhali_400kV_Line2,Matarbari_132kV,Banskhali_400kV,38.0,0.015992,0.075809,2.8674e-05,400
Madunaghat_400kVtoMeghnaghat_400kV_Line1,Madunaghat_400kV,Meghnaghat_400kV,217.2,0.015992,0.075809,2.8674e-05,400
Madunaghat_400kVtoMeghnaghat_400kV_Line2,Madunaghat_400kV,Meghnaghat_400kV,217.2,0.015992,0.075809,2.8674e-05,400
RNPP_400kVtoBogura (W)_400kV_Line1,RNPP_400kV,Bogura (W)_400kV,90.0,0.013593,0.075809,2.8674e-05,400
Bogura (W)_400kVtoBarapukuria_230kV_Line1,Bogura (W)_400kV,Barapukuria_230kV,112.0,0.013593,0.075809,2.8674e-05,400
Bogura (W)_400kVtoBarapukuria_230kV_Line2,Bogura (W)_400kV,Barapukuria_230kV,112.0,0.013593,0.075809,2.8674e-05,400
Amtali Switching_400kVtoPayra_400kV_Line1,Amtali Switching_400kV,Payra_400kV,9.45,0.013593,0.075809,2.8674e-05,400
Amtali Switching_400kVtoPayra_400kV_Line2,Amtali Switching_400kV,Payra_400kV,9.45,0.013593,0.075809,2.8674e-05,400
Amtali Switching_400kVtoRNPP_400kV_Line1,Amtali Switching_400kV,RNPP_400kV,9.9,0.015992,0.075809,2.8674e-05,400
Amtali Switching_400kVtoRNPP_400kV_Line2,Amtali Switching_400kV,RNPP_400kV,9.9,0.015992,0.075809,2.8674e-05,400
Bogura_132kVtoKaliakoir_400kV_Line1,Bogura_132kV,Kaliakoir_400kV,73.0,0.013593,0.075809,2.8674e-05,400
Bogura_132kVtoKaliakoir_400kV_Line2,Bogura_132kV,Kaliakoir_400kV,73.0,0.013593,0.075809,2.8674e-05,400
Aminbazar_400kVtoKaliakoir_400kV_Line1,Aminbazar_400kV,Kaliakoir_400kV,51.0,0.013593,0.075809,2.8674e-05,400
RNPP_400kVtoGopalganj_132kV_Line1,RNPP_400kV,Gopalganj_132kV,156.0,0.013593,0.075809,2.8674e-05,400
RNPP_400kVtoGopalganj_132kV_Line1,RNPP_400kV,Gopalganj_132kV,2.0,0.013593,0.075809,2.8674e-05,400
Madunaghat_400kVtoKorerhat_400kV_Line1,Madunaghat_400kV,Korerhat_400kV,0.0,0.015992,0.075809,2.8674e-05,400
Madunaghat_400kVtoKorerhat_400kV_Line2,Madunaghat_400kV,Korerhat_400kV,0.0,0.015992,0.075809,2.8674e-05,400
