name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
AESHaripur_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
AKSML_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
AKSPL_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Aftabnagar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Agargaon_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Agargaon_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Agrabad_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Aminbazar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Aminbazar_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Aminbazar_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Amnura_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Amtali_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Anwara_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Araihazar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
AshuganjNorth_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Ashuganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Ashuganj_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BIPTC1_400kV_DC,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BIPTC2_400kV_DC,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BSRM_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Bagerhat_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Baghabari_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Baghabari_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Bajitpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Bakerganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Bakulia_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Banani_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Bangabhaban_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Bangladesh Border_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BangladeshBorder1_400kV_DC,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BangladeshBorder2_400kV_DC,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Banskhali_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Barapukuria_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Barapukuria_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BargunaPP_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Barguna_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BarishalNorth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BarishalNorth_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Barishal_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
BarmiPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Baroaulia_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Baroirhat_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Bashundhara_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Beanibazar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
