name,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_nom_set,s_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
BIPTC1_400kV_DCtoBangladesh Border1_400kV_DC_Line1,BIPTC1_400kV_DC,BangladeshBorder1_400kV_DC,,3.768373,0.804807,0.0,0.000325465,1385.641,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,27.35,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIPTC1_400kV_DCtoBangladesh Border1_400kV_DC_Line2,BIPTC1_400kV_DC,BangladeshBorder1_400kV_DC,,3.768373,0.804807,0.0,0.000325465,1385.641,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,27.35,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aminbazar_400kVtoMeghnaghat_400kV_Line1,Aminbazar_400kV,Meghnaghat_400kV,,6.367625,1.39403,0.0,0.0013805,1987.009,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,55.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aminbazar_400kVtoMeghnaghat_400kV_Line2,Aminbazar_400kV,Meghnaghat_400kV,,6.367625,1.39403,0.0,0.0013805,1987.009,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,55.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CumillaNorth_400kVtoBangladesh Border_400kV_Line1,CumillaNorth_400kV,Bangladesh Border_400kV,,3.857932,0.823934,0.0,0.0003332,1385.641,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,28.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CumillaNorth_400kVtoBangladesh Border_400kV_Line2,CumillaNorth_400kV,Bangladesh Border_400kV,,3.857932,0.823934,0.0,0.0003332,1385.641,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,28.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bibiyana_400kVtoKaliakoir_400kV_Line1,Bibiyana_400kV,Kaliakoir_400kV,,23.354269,4.987741,0.0,0.00201705,1385.641,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,169.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bibiyana_400kVtoKaliakoir_400kV_Line2,Bibiyana_400kV,Kaliakoir_400kV,,23.354269,4.987741,0.0,0.00201705,1385.641,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,169.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AshuganjNorth_400kVtoBhulta_400kV_Line1,AshuganjNorth_400kV,Bhulta_400kV,,9.507048,2.030408,0.0,0.0008211,1385.641,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,69.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AshuganjNorth_400kVtoBhulta_400kV_Line2,AshuganjNorth_400kV,Bhulta_400kV,,9.507048,2.030408,0.0,0.0008211,1385.641,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,69.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
