name,v_nom
AESHaripur_230kV,230.0
AKSML_132kV,132.0
AKSPL_230kV,230.0
AdaniPPRecvBus_400kV,400.0
Agargaon_230kV,230.0
Aminbazar_230kV,230.0
Aminbazar_400kV,400.0
Amtali_400kV,400.0
Anwara_230kV,230.0
AshuganjNorth_400kV,400.0
Ashuganj_132kV,132.0
Ashuganj_230kV,230.0
BSRM_230kV,230.0
Baghabari_230kV,230.0
Bajitpur_132kV,132.0
BangladeshBorder1_400kV_DC,400.0
BangladeshBorder2_400kV_DC,400.0
Banskhali_400kV,400.0
BarapukuriaNorth_400kV,400.0
Barapukuria_230kV,230.0
Barishal307MWPP_400kV,400.0
BarishalNorth_230kV,230.0
Baroaulia_132kV,132.0
Baroirhat_132kV,132.0
BheramaraHVDC1_400kV_DC,400.0
BheramaraHVDC2_400kV_DC,400.0
BheramaraHVDC_230kV,230.0
Bheramara_132kV,132.0
Bheramara_230kV,230.0
Bhulta_132kV,132.0
Bhulta_230kV,230.0
Bhulta_400kV,400.0
Bibiyana_230kV,230.0
Bibiyana_400kV,400.0
BoguraSouth_230kV,230.0
BoguraWest_230kV,230.0
BoguraWest_400kV,400.0
Bogura_400kV,400.0
Borhanuddin_230kV,230.0
Brahmanbaria_132kV,132.0
Chandpur_132kV,132.0
Chandraghona_132kV,132.0
Chhatak_132kV,132.0
Chowmuhani_132kV,132.0
Chowmuhani_230kV,230.0
Cox'sBazar_132kV,132.0
CumillaNorth_132kV,132.0
CumillaNorth_230kV,230.0
CumillaSouth_132kV,132.0
Daganbhuiyan_132kV,132.0
Daudkandi_132kV,132.0
Dohazari_132kV,132.0
Faridpur_230kV,230.0
FenchuganjPS_132kV,132.0
Fenchuganj_132kV,132.0
Fenchuganj_230kV,230.0
FeniNorth_230kV,230.0
Feni_132kV,132.0
GPH_230kV,230.0
Gazaria_230kV,230.0
GhorashalSouthWest_230kV,230.0
Ghorashal_132kV,132.0
Ghorashal_230kV,230.0
GopalganjNorth_230kV,230.0
GopalganjNorth_400kV,400.0
Halishahar_132kV,132.0
Haripur_132kV,132.0
Haripur_230kV,230.0
Hasnabad_230kV,230.0
Hathazari_132kV,132.0
Hathazari_230kV,230.0
Ishwardi_132kV,132.0
Ishwardi_230kV,230.0
Jamalpur_132kV,132.0
Jashore_132kV,132.0
JhenaidahSouth_132kV,132.0
JhenaidahSouth_230kV,230.0
Jhenaidah_132kV,132.0
Juldah_132kV,132.0
KSRM_132kV,132.0
Kachua_132kV,132.0
Kachua_230kV,230.0
Kaliakoir_230kV,230.0
Kaliakoir_400kV,400.0
Kaliganj_132kV,132.0
Kaptai_132kV,132.0
Keraniganj_230kV,230.0
Khulna330MW_230kV,230.0
KhulnaCentral_132kV,132.0
KhulnaSouth_230kV,230.0
Khulshi_132kV,132.0
Kishoreganj_132kV,132.0
Korerhat_230kV,230.0
Korerhat_400kV,400.0
Kushtia_132kV,132.0
MadunaghatNew_230kV,230.0
MadunaghatNew_400kV,400.0
Madunaghat_132kV,132.0
Madunaghat_230kV,230.0
Maijdee_230kV,230.0
Maniknagar_230kV,230.0
Matarbari_400kV,400.0
Meghnaghat_230kV,230.0
Meghnaghat_400kV,400.0
Mirsarai_230kV,230.0
Muradnagar_132kV,132.0
Mymensingh_132kV,132.0
Narsingdi_132kV,132.0
Netrokona_132kV,132.0
Noapara_132kV,132.0
Patiya_132kV,132.0
Patuakhali_230kV,230.0
PayraPP_400kV,400.0
Payra_230kV,230.0
Payra_400kV,400.0
Purbasadipur_230kV,230.0
RNPL_400kV,400.0
RNPP_230kV,230.0
RNPP_400kV,400.0
Rahanpur_400kV,400.0
RajshahiNorth_230kV,230.0
Rampal_230kV,230.0
Rampal_400kV,400.0
Rampura_230kV,230.0
Raozan_230kV,230.0
Shahjibazar_132kV,132.0
Shahjibazar_230kV,230.0
Sholoshahar_132kV,132.0
Shyampur_230kV,230.0
Siddhirganj_132kV,132.0
Siddhirganj_230kV,230.0
Sikalbaha_132kV,132.0
Sikalbaha_230kV,230.0
SirajganjSouthWest_230kV,230.0
Sonagazi_230kV,230.0
Sonargaon_132kV,132.0
Srimangal_132kV,132.0
Sripur_230kV,230.0
SuryamaninagarRecvBus_132kV,132.0
SylhetSouth_132kV,132.0
Sylhet_132kV,132.0
TKCCL_132kV,132.0
Tongi_230kV,230.0
