time,ishurdi_ghorashal_mw,ishurdi_ghorashal_mvar,sirajganj_sreepur_mw,sirajganj_sreepur_mvar,gopalganj_aminbazar_mw,gopalganj_aminbazar_mvar
00:00,128.0,3.0,510.0,196.0,1774.0,538.0
01:00,115.0,7.0,480.0,166.0,1732.0,496.0
02:00,97.0,3.0,440.0,168.0,1644.0,430.0
03:00,95.0,7.0,434.0,184.0,1612.0,466.0
04:00,84.0,1.0,420.0,166.0,1634.0,460.0
05:00,106.0,19.0,438.0,164.0,1538.0,518.0
06:00,128.0,29.0,470.0,160.0,1624.0,512.0
07:00,132.0,35.0,484.0,158.0,1660.0,540.0
08:00,161.0,48.0,540.0,178.0,1785.0,656.0
09:00,190.0,66.0,628.0,222.0,1902.0,698.0
10:00,194.0,67.0,650.0,216.0,1968.0,726.0
11:00,191.0,71.0,630.0,238.0,1816.0,762.0
12:00,119.0,65.0,490.0,214.0,1532.0,662.0
13:00,101.0,53.0,410.0,196.0,1504.0,640.0
14:00,97.0,60.0,400.0,204.0,1504.0,646.0
15:00,111.0,67.0,470.0,228.0,1600.0,666.0
16:00,113.0,71.0,460.0,220.0,1564.0,644.0
17:00,140.0,47.0,540.0,200.0,1706.0,668.0
18:00,155.0,35.0,510.0,192.0,1634.0,652.0
18:30,153.0,32.0,540.0,220.0,1668.0,612.0
19:00,146.0,29.0,540.0,196.0,1756.0,518.0
19:30,106.0,-2.0,460.0,138.0,1552.0,472.0
20:00,111.0,-2.0,460.0,144.0,1516.0,478.0
21:00,132.0,11.0,480.0,156.0,1690.0,518.0
22:00,131.0,8.0,480.0,154.0,1628.0,494.0
23:00,136.0,12.0,500.0,180.0,1654.0,490.0
