time,gas_public,gas_pvt,hvdc,nepal,tripura,adani,hydro,coal,solar,hfo_public,hfo_pvt,hsd_public,hsd_pvt,wind,shortage,national_load_dispatch_center_nldc
00:00,3662.0,2019.5,843.0,38.0,160.0,1437.18,100.0,5942.0,0.0,546.0,1198.0,100.0,0.0,3.0,420.0,
00:30,3652.0,1989.0,843.0,38.0,158.0,1402.24,99.5,5932.5,0.0,526.0,1216.0,100.5,0.0,2.5,431.5,
01:00,3642.0,1958.5,843.0,38.0,156.0,1367.3,99.0,5923.0,0.0,506.0,1234.0,101.0,0.0,2.0,443.0,
01:30,3571.0,1980.0,843.0,38.0,154.0,1324.125,98.0,5919.0,0.0,495.5,1082.0,100.5,0.0,2.0,459.5,
02:00,3500.0,2001.5,843.0,38.0,152.0,1280.95,97.0,5915.0,0.0,485.0,930.0,100.0,0.0,2.0,476.0,
02:30,3482.0,1988.0,843.5,38.0,148.0,1269.43,96.0,5907.0,0.0,485.0,901.5,50.0,0.0,2.0,465.5,
03:00,3464.0,1974.5,844.0,38.0,144.0,1257.91,95.0,5899.0,0.0,485.0,873.0,0.0,0.0,2.0,455.0,
03:30,3468.0,1937.5,844.0,38.0,146.0,1254.455,95.0,5899.5,0.0,455.5,638.5,0.0,0.0,5.5,446.5,
04:00,3472.0,1900.5,844.0,38.0,148.0,1251.0,95.0,5900.0,0.0,426.0,404.0,0.0,0.0,9.0,438.0,
04:30,3477.5,1966.5,844.0,38.0,146.0,1257.07,95.0,5711.5,0.0,426.0,381.0,0.0,0.0,9.5,409.0,
05:00,3483.0,2032.5,844.0,38.0,144.0,1263.14,95.0,5523.0,0.0,426.0,358.0,0.0,0.0,10.0,380.0,
05:30,3490.0,2021.5,844.0,38.0,142.0,1271.765,95.5,5387.0,14.24,426.0,307.5,0.0,0.0,6.5,299.5,
06:00,3497.0,2010.5,844.0,38.0,140.0,1280.39,96.0,5251.0,28.48,426.0,257.0,0.0,0.0,3.0,219.0,
06:30,3496.5,1972.5,843.5,38.0,138.0,1281.15,96.0,5241.0,65.685,417.0,261.5,0.0,0.0,3.5,204.0,
07:00,3496.0,1934.5,843.0,38.0,136.0,1281.91,96.0,5231.0,102.89,408.0,266.0,0.0,0.0,4.0,189.0,
07:30,3509.0,1932.5,843.0,38.0,134.0,1283.4,97.0,5216.5,166.48,389.0,265.0,0.0,0.0,3.5,104.5,
08:00,3522.0,1930.5,843.0,38.0,132.0,1284.89,98.0,5202.0,230.07,370.0,264.0,0.0,0.0,3.0,20.0,
08:30,3546.5,1938.5,843.0,38.0,135.0,1285.1,98.0,5196.5,248.49,378.5,256.5,0.0,0.0,2.5,92.0,
09:00,3571.0,1946.5,843.0,38.0,138.0,1285.31,98.0,5191.0,266.91,387.0,249.0,0.0,0.0,2.0,164.0,
09:30,3585.5,1963.5,843.0,38.0,137.0,1288.985,98.5,5227.5,338.43,333.0,246.5,0.0,0.0,5.5,231.5,
10:00,3600.0,1980.5,843.0,38.0,136.0,1292.66,99.0,5264.0,409.95,279.0,244.0,0.0,0.0,9.0,299.0,
10:30,3577.0,2033.5,843.0,38.0,142.0,1283.14,99.0,5310.0,435.04,262.0,232.5,0.0,0.0,11.0,289.0,
11:00,3554.0,2086.5,843.0,38.0,148.0,1273.62,99.0,5356.0,460.13,245.0,221.0,0.0,0.0,13.0,279.0,
11:30,3568.5,2145.0,681.0,38.0,152.0,1284.635,99.0,5433.0,429.615,248.5,385.5,0.0,0.0,33.0,315.0,
12:00,3583.0,2203.5,519.0,38.0,156.0,1295.65,99.0,5510.0,399.1,252.0,550.0,0.0,0.0,53.0,351.0,
12:30,3571.0,2147.5,519.5,38.0,159.0,1265.83,98.5,5522.5,389.585,230.5,721.0,0.0,0.0,40.0,336.5,
13:00,3559.0,2091.5,520.0,38.0,162.0,1236.01,98.0,5535.0,380.07,209.0,892.0,0.0,0.0,27.0,322.0,
13:30,3539.0,2101.5,514.0,38.0,161.0,1264.915,97.0,5603.5,339.195,160.0,933.5,0.0,0.0,27.5,343.0,
14:00,3519.0,2111.5,508.0,38.0,160.0,1293.82,96.0,5672.0,298.32,111.0,975.0,0.0,0.0,28.0,364.0,
14:30,3527.0,2101.75,507.5,38.0,159.0,1247.51,94.5,5713.0,298.515,112.0,1005.1,0.0,0.0,31.5,434.0,
