time,generation_mw,load_shed_mw,demand_mw
00:00,16048.68,420.0,16487.58
01:00,15869.8,443.0,16332.74
02:00,15344.45,476.0,15841.87
03:00,15076.41,455.0,15551.89
04:00,14487.5,438.0,14945.5
05:00,14216.64,380.0,14613.64
06:00,13871.37,219.0,14100.37
07:00,13837.3,189.0,14035.3
08:00,13917.46,20.0,13938.46
09:00,14015.72,164.0,14186.72
10:00,14195.11,299.0,14507.11
11:00,14337.25,279.0,14629.25
12:00,14658.25,351.0,15025.25
13:00,14747.58,322.0,15083.58
14:00,14810.64,364.0,15191.02
15:00,14860.11,504.0,15386.79
16:00,14791.79,509.0,15323.7
17:00,14415.99,453.0,14889.38
18:00,14000.98,432.0,14452.42
19:00,15143.96,399.0,15560.96
19:30,16280.2,498.0,16800.2
20:00,16160.56,393.0,16571.56
21:00,16323.7,490.0,16835.7
22:00,16281.32,323.0,16619.32
23:00,16300.4,378.0,16695.4
