name,fuel,producer,unit_config,installed_mw,present_mw,actual_day_peak_mw,actual_evening_peak_mw,forecast_day_peak_mw,forecast_evening_peak_mw,remarks,p2_evening_peak_mw,p2_energy_kwh,p2_remarks
Adani Power Jharkhanda Ltd,Import,Import,2*673,1496.0,1469.13,1295.65,1474.84,1469.13,1469.13,AGC,1474.84,33521369.0,-
Anlima Energy Ltd.,HFO,IPP,6*21.2,116.0,116.0,1.0,13.0,116.0,116.0,FGMO,13.0,446731.0,FGMO
Anwara 300 MW PP (United),HFO,IPP,17*17+24,300.0,300.0,5.0,16.0,300.0,300.0,Liquid fuel shortage,16.0,244385.0,Liquid fuel shortage
Ashuganj 150MW PP (Midland),HFO,IPP,23X7.015,150.0,150.0,26.0,70.0,150.0,150.0,-,70.0,677454.0,-
Ashuganj 195 MW PP (APSCL-United),Gas,IPP,20X9.73+1X16,195.0,195.0,0.0,0.0,195.0,195.0,Gas shortage,0.0,0.0,Gas shortage
Ashuganj 420 MW CCPP(East),Gas,APSCL,284*1+116*1,400.0,393.0,230.0,230.0,393.0,393.0,Gas shortage,230.0,5718500.0,Gas shortage
Ashuganj 450 MW CCPP(North),Gas,APSCL,1*360,360.0,350.01,290.0,290.0,350.01,350.01,Gas shortage,290.0,7361600.0,Machine Problem
Ashuganj 450 MW CCPP(South),Gas,APSCL,1*360,360.0,342.01,240.0,240.0,342.01,342.01,Gas shortage,240.0,6158000.0,Machine Problem
Ashuganj 51 MW PP (Midland),Gas,IPP,6X9.34,51.0,51.0,51.0,51.0,51.0,51.0,-,51.0,1164864.0,-
Ashuganj 55 MW PP (Precision),Gas,QRPP,15*4,55.0,52.824,25.0,25.0,52.82,52.82,Gas shortage,25.0,713280.0,Gas shortage
Ashuganj CCPP 225 MW,Gas,APSCL,1X142+1X75,221.0,221.25,215.0,198.0,221.25,221.25,Gas shortage,198.0,4934000.0,FGMO
