name,capacity_mw,area,is_import,mw_0000,mw_0100,mw_0200,mw_0300,mw_0400,mw_0500,mw_0600,mw_0700,mw_0800,mw_0900,mw_1000,mw_1100,mw_1200,mw_1300,mw_1400,mw_1500,mw_1600,mw_1700,mw_1800,mw_1900,mw_1930,mw_2000,mw_2100,mw_2200,mw_2300,total_kwh
Gagnagar 102 MW PP (Digital Power),102.0,Eastern,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gazipur 100 MW PP,105.0,Eastern,False,35.0,60.0,88.0,88.0,88.0,88.0,88.0,70.0,50.0,50.0,34.0,34.0,34.0,17.0,17.0,17.0,17.0,17.0,17.0,105.0,105.0,88.0,70.0,70.0,70.0,1331098.0
Gazipur 52 MW PP,52.194,Eastern,False,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,16.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,25.0,33.0,531274.0
Ghorasal 365 MW CCPP Unit-7,365.0,Eastern,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghorasal Repowered CCPP Unit-3,260.0,Eastern,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghorasal Repowered CCPP Unit-4,240.0,Eastern,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghorasal TPP Unit-5,190.0,Eastern,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghorashal 108 MW PP (Regent),97.7,Eastern,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haripur 412 MW CCPP,412.0,Eastern,False,371.0,355.0,334.0,312.0,308.0,290.0,305.0,305.0,300.0,347.0,369.0,334.0,370.0,400.0,406.0,405.0,405.0,380.0,380.0,406.0,411.0,410.0,410.0,411.0,410.0,8823600.0
Haripur GTPP,20.0,Eastern,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JERA Meghnaghat Power Limited,718.0,Eastern,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamalaghat 54 MW PP(Banco Energy),53.97,Eastern,False,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,15.8,15.8,35.0,35.0,35.0,35.0,16.5,200448.0
