sl,substation,peak_mw,peak_time
1,AKS,0.0,00:00
2,AKSML,132.5,02:00
3,Aftabnagar,46.0,00:00
4,Agargaon,119.0,14:00
5,Agrabad,78.0,11:00
6,Amnura,33.0,00:00
7,Ashuganj,89.0,23:00
8,BSRM,200.0,01:00
9,Bagerhat,94.0,19:30
10,Bajitpur,98.0,20:00
11,Bakerganj,16.4,20:00
12,Bakulia,98.0,19:30
13,Banani,66.0,13:00
14,Bangabhaban,17.0,10:00
15,Barapukuria,69.0,22:00
16,Barguna,24.0,21:00
17,Barishal,106.0,13:00
18,Barishal-230,114.0,22:00
19,Baroaulia,55.0,12:00
20,Baroirhat,66.0,14:00
21,Bashundhara,200.0,14:00
22,BashundharaCement,12.0,11:00
23,Beanibazar,90.0,19:00
24,Benapole,67.0,00:00
25,Bhaluka,144.0,00:00
26,Bhandaria,60.0,20:00
27,Bhangura,39.0,00:00
28,Bheramara(GK),68.0,19:30
29,Bhulta,227.0,18:00
30,Bog-Sherpur,86.0,00:00
31,Bogura,180.0,20:00
32,Borhanuddin,81.0,21:00
33,Brahmanbaria,147.0,19:00
34,Cantonment,134.0,13:00
35,Chandina,36.0,19:30
36,Chandpur,88.0,19:00
37,Chandraghona,34.0,20:00
38,Chapai,82.0,00:00
39,Charfasson,35.0,23:00
40,Charsaidpur,38.0,01:00
41,Chauddagram,79.0,19:00
42,Chhatak,46.0,00:00
43,Chowmuhani,168.0,19:00
44,Chuadanga,122.0,20:00
45,Coxsbazar,144.0,19:30
46,Cumilla(N),133.0,19:00
47,Cumilla(S),167.0,19:00
48,Daganbhuiyan,37.0,00:00
49,Daudkandi,147.0,19:00
50,DhakaUniversity,94.0,13:00
51,Dhamrai,108.0,19:30
52,Dhanmondi,119.6,13:00
53,Dohazari,112.0,21:00
54,Faridpur,176.0,22:00
55,Fatullah,104.0,15:00
56,Fenchuganj,53.0,00:00
57,Feni,117.0,19:00
58,GPH,78.0,18:30
59,Ghatail,79.0,00:00
60,Ghorashal,0.0,00:00
61,Ghorashal-230,101.0,00:00
62,Goalpara,36.0,00:00
63,Gollamari,110.0,23:00
64,Gopalganj,118.0,19:30
65,Gulshan,122.0,15:00
66,Halishahar,111.0,15:00
67,HaripurSBU,143.0,23:00
68,Hasnabad,93.0,21:00
69,Hathazari,98.0,00:00
70,Hatirjheel,47.0,14:00
71,Ishurdi,84.0,01:00
72,Jaldhaka,90.0,22:00
73,Jamalpur,114.0,00:00
74,Jashore,161.0,19:30
75,Jhenaidah,98.0,19:30
76,Joydebpur,159.0,08:00
77,Joypurhat,70.0,00:00
78,Juldah,22.0,13:00
79,KSRM,45.0,21:00
80,Kabirpur,273.0,09:00
81,Kachua,102.0,22:00
82,Kaliganj,38.0,19:30
83,Kallyanpur,129.0,23:00
84,Kalurghat,38.0,12:00
85,Kamrangirchar,80.0,13:00
86,Kaptai,,
87,Kasba,43.0,22:00
88,Kazla,117.0,13:00
89,Keranigonj,88.0,19:30
90,Khagrachori,38.0,19:00
91,Khulna,63.0,20:00
92,Khulshi,160.0,00:00
93,Kishoreganj,124.0,02:00
94,Kodda,300.0,23:00
95,Kulaura,59.0,00:00
96,Kurigram,72.0,07:00
97,Kushtia,159.0,19:30
98,Laksam,30.0,00:00
99,Lakshmipur,39.0,02:00
100,Lalbag,81.0,13:00
101,Lalmonirhat,64.0,00:00
102,MI_Cement,14.2,23:00
103,Madanganj,42.0,00:00
104,Madaripur,124.0,22:00
105,Madartek,89.0,00:00
106,Madunaghat,55.0,21:00
107,Magura,68.0,19:30
108,Mahasthangarh,84.0,00:00
109,Maijdee,49.0,19:30
110,Manikganj,146.0,19:30
111,Maniknagar,79.0,13:00
112,Matarbari,55.0,20:00
113,Matuail,82.0,12:00
114,Metrorail_Motijheel,28.0,18:00
115,Metrorail_Uttara,0.0,00:00
116,Millgate,105.0,12:00
117,Mirpur,156.0,12:00
118,Mirsorai,35.0,03:00
119,Mirzapur,56.0,19:30
120,Mithapukur,79.0,01:00
121,Modern,,
122,Mogbazar,93.4,16:00
123,Mongla,36.0,06:00
124,Motijheel,48.0,12:00
125,Muktagacha,44.0,08:00
126,Munshiganj,117.0,22:00
127,Muradnagar,55.0,22:00
128,Mymensingh,172.0,20:00
129,Nabinagar,112.0,11:00
130,Naogaon,148.0,01:00
131,Narail,54.5,02:00
132,Narinda,72.0,13:00
133,Narshingdi,203.0,20:00
134,Natore,167.0,00:00
135,Nawabganj,63.0,01:00
136,Netrakona,126.0,00:00
137,New,85.0,11:00
138,Niamatpur,87.0,00:00
139,Noapara,45.0,19:30
140,PHP,13.0,14:00
141,Pabna,103.0,00:00
142,Palashbari,136.0,00:00
143,Panchagarh,69.0,19:30
144,Patiya,11.4,22:00
145,Patuakhali,73.0,22:00
146,Payra,36.0,22:00
147,Postogola,63.0,00:00
148,Pubail,42.0,11:00
149,Purbachal,29.0,13:00
150,Purbasadipur,150.0,20:00
151,Rahanpur,46.0,01:00
152,Rahim,36.0,12:00
153,Rajbari,86.0,20:00
154,Rajendrapur,114.0,11:00
155,Rajshahi,151.0,00:00
156,Rajshahi-230,82.0,23:00
157,Ramganj,120.0,21:00
158,Rampur,42.0,00:00
159,Rangamati,18.0,19:00
160,Rangpur,152.0,19:00
161,Ruppur,4.8,10:00
162,SSM,0.0,00:00
163,Saidpur,113.0,21:00
164,Santhia,36.0,00:00
165,Satkhira,136.0,19:30
166,Satmasjid,104.0,14:00
167,Savar,210.0,19:00
168,SevenRings,16.5,03:00
169,ShahCement,34.0,03:00
170,Shahjadpur,80.0,19:30
171,Shahjibazar,138.0,21:00
172,Shahmirpur,52.0,20:00
173,Shariatpur,97.0,22:00
174,Sherpur,140.0,22:00
175,Shikalbaha,33.0,01:00
176,Shitalakhya,75.3,13:00
177,Sholosohor,47.0,19:00
178,Shomvuganj,40.0,00:00
179,Shyampur,182.0,13:00
180,Siddhirganj,135.0,12:00
181,Sirajganj,122.0,21:00
