place,class,voltages,bus_names,lat,lon,matched_name,osm_id,feature_power,score,confidence,status,source,note
AESHaripur,industrial,230,AESHaripur_230kV,23.6782063,90.5329568,Haripur Power Limited,way/147998623,plant,91.1,high,accepted,osm,
AKSML,industrial,132,AKSML_132kV,22.4457268,91.7424898,AKSPL 132,way/211045451,substation,80.0,high,accepted,osm,constrained re-match (1 discs)
AKSPL,industrial,230,AKSPL_230kV,22.4457268,91.7424898,AKSPL 132,way/211045451,substation,100.0,high,accepted,osm,
AdaniPPRecvBus,cross_border,400,AdaniPPRecvBus_400kV,,,,,,,none,unresolved,osm,
Aftabnagar,town,132,Aftabnagar_132kV,23.7699518,90.4565872,Aftabnagar 132,way/1060033809,substation,100.0,high,accepted,osm,
Agargaon,town,132|230,Agargaon_132kV|Agargaon_230kV,23.6413848,90.5905103,Sonargaon,way/210993454,substation,70.6,low,unresolved,osm,
Agrabad,town,132,Agrabad_132kV,22.3215634,91.8039048,Agrabad,way/1043456906,substation,100.0,high,accepted,osm,
Aminbazar,town,132|230|400,Aminbazar_132kV|Aminbazar_230kV|Aminbazar_400kV,23.786202,90.3151984,Aminbazar,way/147998689,substation,100.0,high,reopened,osm,constrained re-match (5 discs)
Amnura,plant,132,Amnura_132kV,24.630249,88.4010871,Amnura,way/354584213,substation,100.0,high,accepted,osm,
Amtali,town,400,Amtali_400kV,22.0831343,90.2371657,Amtali,way/1301701557,substation,100.0,high,accepted,osm,
Anwara,plant,230,Anwara_230kV,22.2324734,91.8270787,UPGD (UANPL) Anwara Power Plant,way/967677417,plant,100.0,high,accepted,osm,
Araihazar,town,132,Araihazar_132kV,23.786202,90.3151984,Aminbazar,way/147998689,substation,66.7,low,unresolved,osm,
Ashuganj,plant,132|230,Ashuganj_132kV|Ashuganj_230kV,24.0431237,91.0163132,Ashuganj East Power Station,way/333355788,plant,100.0,high,accepted,osm,constrained re-match (3 discs)
AshuganjNorth,plant,400,AshuganjNorth_400kV,24.0431237,91.0163132,Ashuganj East Power Station,way/333355788,plant,89.1,high,accepted,osm,
