p0,p1,line_length_km,haversine_km,ratio,kind
Ashuganj,Bajitpur,21.0,24.6,1.17,too_far
Baghabari,Sathia,11.0,162.7,14.79,too_far
BarishalNorth,Barishal,10.0,11.0,1.1,too_far
Baroaulia,KSRM,4.0,46.2,11.55,too_far
Bogura,Kaliakoir,73.0,119.4,1.64,too_far
Bogura,Mahasthangarh,10.0,13.2,1.32,too_far
Dhamrai,Nabinagar,12.0,327.9,27.33,too_far
Fatullah,Haripur,5.0,7.6,1.52,too_far
Fatullah,Shyampur,4.0,7.6,1.9,too_far
GopalganjNorth,Aminbazar,75.3,97.7,1.3,too_far
GopalganjNorth,Faridpur,20.0,62.4,3.12,too_far
GopalganjNorth,Gopalganj,35.0,0.7,0.02,too_close
Jhenaidah,Kushtia,43.0,306.5,7.13,too_far
Kaliakoir,Aminbazar,32.0,36.2,1.13,too_far
Keraniganj,Kamrangirchar,3.0,3.5,1.18,too_far
Kushtia,Bheramara,23.0,302.3,13.14,too_far
LabancharaPP,Bagerhat,22.5,25.5,1.13,too_far
Madanganj,CharSaidpur,3.0,296.9,98.96,too_far
Madaripur,GopalganjNorth,23.0,34.8,1.51,too_far
Maniknagar,Narinda,5.0,34.7,6.93,too_far
Narsingdi,Bhulta,19.0,21.4,1.13,too_far
Rajbari,Bheramara,1.25,69.5,55.61,too_far
Rajshahi,Natore,37.0,44.2,1.19,too_far
Rajshahi,RajshahiNorth,48.0,0.0,0.0,too_close
Rangpur,Taraganj,19.0,113.4,5.97,too_far
Sathia,BeraPP,5.0,159.0,31.8,too_far
Sathia,Pabna64MWSolarPP,34.5,143.1,4.15,too_far
Shahjibazar,CumillaNorth,58.5,87.5,1.5,too_far
Sripur,Kodda,9.0,26.3,2.92,too_far
Sripur,SirajganjSouthWest,69.0,77.2,1.12,too_far
SylhetSouth,Fenchuganj,5.0,29.8,5.95,too_far
Taraganj,Saidpur,21.5,78.7,3.66,too_far
Tongi,Kaliakoir,25.2,31.0,1.23,too_far
Tongi,Uttara,15.0,260.0,17.33,too_far
UnitedPP,Sherpur,15.0,19.0,1.27,too_far
Uttara,Mirpur,9.0,251.0,27.89,too_far
