name,v_nom
AESHaripur_230kV,230.0
AKSML_132kV,132.0
AKSPL_230kV,230.0
Aftabnagar_132kV,132.0
Agargaon_132kV,132.0
Agargaon_230kV,230.0
Agrabad_132kV,132.0
Aminbazar_132kV,132.0
Aminbazar_230kV,230.0
Aminbazar_400kV,400.0
Amnura_132kV,132.0
Amtali_400kV,400.0
Anwara_230kV,230.0
Araihazar_132kV,132.0
AshuganjNorth_400kV,400.0
Ashuganj_132kV,132.0
Ashuganj_230kV,230.0
BIPTC1_400kV_DC,400.0
BIPTC2_400kV_DC,400.0
BSRM_230kV,230.0
Bagerhat_132kV,132.0
Baghabari_132kV,132.0
Baghabari_230kV,230.0
Bajitpur_132kV,132.0
Bakerganj_132kV,132.0
Bakulia_132kV,132.0
Banani_132kV,132.0
Bangabhaban_132kV,132.0
Bangladesh Border_400kV,400.0
BangladeshBorder1_400kV_DC,400.0
BangladeshBorder2_400kV_DC,400.0
Banskhali_400kV,400.0
Barapukuria_132kV,132.0
Barapukuria_230kV,230.0
BargunaPP_400kV,400.0
Barguna_132kV,132.0
BarishalNorth_132kV,132.0
BarishalNorth_230kV,230.0
Barishal_132kV,132.0
BarmiPP_132kV,132.0
Baroaulia_132kV,132.0
Baroirhat_132kV,132.0
Bashundhara_132kV,132.0
Beanibazar_132kV,132.0
Benapole_132kV,132.0
BeraPP_132kV,132.0
Bhaluka_132kV,132.0
Bhandaria_132kV,132.0
Bhangura_132kV,132.0
BheramaraHVDC_230kV,230.0
Bheramara_132kV,132.0
Bheramara_230kV,230.0
Bhulta_132kV,132.0
Bhulta_230kV,230.0
Bhulta_400kV,400.0
Bibiyana_230kV,230.0
Bibiyana_400kV,400.0
BoguraSouth_132kV,132.0
BoguraSouth_230kV,230.0
BoguraWest_230kV,230.0
BoguraWest_400kV,400.0
Bogura_132kV,132.0
Bogura_400kV,400.0
Borhanuddin_230kV,230.0
Brahmanbaria_132kV,132.0
Cantonment_132kV,132.0
Chandina_132kV,132.0
Chandpur_132kV,132.0
Chandraghona_132kV,132.0
ChapaiNawabganj_132kV,132.0
CharSaidpur_132kV,132.0
Chauddagram_132kV,132.0
Chhatak_132kV,132.0
Chowdala_132kV,132.0
Chowmuhani_132kV,132.0
Chowmuhani_230kV,230.0
Chuadanga_132kV,132.0
ConfidencePP_132kV,132.0
Cox's Bazar_132kV,132.0
Cox'sBazar_132kV,132.0
CumillaNorth_132kV,132.0
CumillaNorth_230kV,230.0
CumillaNorth_400kV,400.0
CumillaSouth_132kV,132.0
Daganbhuiyan_132kV,132.0
DaudkandiPP_132kV,132.0
Daudkandi_132kV,132.0
DeshPP_132kV,132.0
DhakaUniversity_132kV,132.0
Dhamrai_132kV,132.0
Dhanmondi_132kV,132.0
Dohazari_132kV,132.0
DynamicSunSolarPP_132kV,132.0
Energon_132kV,132.0
FaridpurPP_132kV,132.0
Faridpur_132kV,132.0
Faridpur_230kV,230.0
Fatullah_132kV,132.0
FenchuganjPS_132kV,132.0
Fenchuganj_132kV,132.0
Fenchuganj_230kV,230.0
FeniNorth_132kV,132.0
FeniNorth_230kV,230.0
Feni_132kV,132.0
GPH_230kV,230.0
Gallamari_132kV,132.0
Gazaria_230kV,230.0
Ghatail_132kV,132.0
GhorashalSouthWest_230kV,230.0
Ghorashal_132kV,132.0
Ghorashal_230kV,230.0
Goalpara_132kV,132.0
GopalganjNorth_132kV,132.0
GopalganjNorth_230kV,230.0
GopalganjNorth_400kV,400.0
GopalganjPP_132kV,132.0
Gopalganj_132kV,132.0
Gulshan_132kV,132.0
Halishahar_132kV,132.0
Haripur_132kV,132.0
Haripur_230kV,230.0
Hasnabad_132kV,132.0
Hasnabad_230kV,230.0
Hathazari_132kV,132.0
Hathazari_230kV,230.0
Ishwardi_132kV,132.0
Ishwardi_230kV,230.0
Jaldhaka_132kV,132.0
Jamalpur_132kV,132.0
Jashore_132kV,132.0
JhenaidahSouth_132kV,132.0
JhenaidahSouth_230kV,230.0
Jhenaidah_132kV,132.0
Joydebpur_132kV,132.0
Joypurhat_132kV,132.0
Juldah_132kV,132.0
Kabir Steel_132kV,132.0
Kabirpur_132kV,132.0
Kachua_132kV,132.0
Kachua_230kV,230.0
Kaliakoir_132kV,132.0
Kaliakoir_230kV,230.0
Kaliakoir_400kV,400.0
Kaliganj_132kV,132.0
Kallayanpur_132kV,132.0
Kalurghat_132kV,132.0
Kamrangirchar_132kV,132.0
Kaptai_132kV,132.0
Kazla_132kV,132.0
Keraniganj_132kV,132.0
Keraniganj_132kVt,132.0
Keraniganj_230kV,230.0
Khagrachari_132kV,132.0
Khulna330MW_230kV,230.0
KhulnaCentral_132kV,132.0
KhulnaSouth_132kV,132.0
KhulnaSouth_230kV,230.0
Khulshi_132kV,132.0
Kishoreganj_132kV,132.0
Kodda_132kV,132.0
Korerhat_230kV,230.0
Korerhat_400kV,400.0
Kosba_132kV,132.0
Kulaura_132kV,132.0
Kurigram_132kV,132.0
Kushtia_132kV,132.0
LabancharaPP_132kV,132.0
Laksham_132kV,132.0
Lakshmipur_132kV,132.0
Lalbagh_132kV,132.0
Lalmonirhat_132kV,132.0
MSML_132kV,132.0
Madanganj_132kV,132.0
Madaripur_132kV,132.0
Madartek_132kV,132.0
MadhumatiPP_132kV,132.0
Madunaghat_132kV,132.0
Madunaghat_400kV,400.0
Madunaght_230kV,230.0
Madunaght_230kVt,230.0
Magura_132kV,132.0
Mahasthangarh_132kV,132.0
Maheshpur_132kV,132.0
Maijdee_230kV,230.0
Manikganj_132kV,132.0
Maniknagar_132kV,132.0
Maniknagar_230kV,230.0
MatarbariTConnection_132kV,132.0
Matarbari_132kV,132.0
Matarbari_400kV,400.0
Matuail_132kV,132.0
MeghnaghatRentalPP_132kV,132.0
Meghnaghat_230kV,230.0
Meghnaghat_400kV,400.0
Mirpur_132kV,132.0
Mirsarai_230kV,230.0
Mirzapur_132kV,132.0
Mithapukur_132kV,132.0
Moghbazar_132kV,132.0
Monakosa_400kV,400.0
Mongla_132kV,132.0
Motijheel_132kV,132.0
Mukhtagacha_132kV,132.0
Munshiganj_132kV,132.0
Muradnagar_132kV,132.0
Mymensingh_132kV,132.0
Naogaon_132kV,132.0
Narail_132kV,132.0
Narinda_132kV,132.0
Narsingdi_132kV,132.0
Natore_132kV,132.0
Nawabganj_132kV,132.0
Netrokona_132kV,132.0
NewTongi_132kV,132.0
Niamatpur_132kV,132.0
NoaparaPP_132kV,132.0
Noapara_132kV,132.0
PHP_132kV,132.0
Pabna64MWSolarPP_132kV,132.0
Pabna_132kV,132.0
Palashbari_132kV,132.0
Panchagarh_132kV,132.0
Patiya_132kV,132.0
Patuakhali_132kV,132.0
Patuakhali_230kV,230.0
PayraPP_400kV,400.0
Payra_230kV,230.0
Payra_400kV,400.0
Postagola_132kV,132.0
Pubail_132kV,132.0
Purbachal_132kV,132.0
Purbasadipur_132kV,132.0
Purbasadipur_230kV,230.0
RNPL_400kV,400.0
RNPP_230kV,230.0
RNPP_400kV,400.0
RPCLPP_132kV,132.0
Rahanpur_132kV,132.0
Rahanpur_400kV,400.0
Rajbari_132kV,132.0
Rajendrapur_132kV,132.0
RajshahiNorth_132kV,132.0
RajshahiNorth_230kV,230.0
Rajshahi_132kV,132.0
Ramganj_132kV,132.0
Rampal_230kV,230.0
Rampal_400kV,400.0
Rampur_132kV,132.0
Rampura_132kV,132.0
Rampura_230kV,230.0
Rangamati_132kV,132.0
Rangpur_132kV,132.0
Raozan_230kV,230.0
Rooppur_132kV,132.0
Saidpur_132kV,132.0
Sathia_132kV,132.0
Satkhira_132kV,132.0
Satmasjid_132kV,132.0
Savar_132kV,132.0
Shahjadpur_132kV,132.0
Shahjibazar_132kV,132.0
Shahjibazar_230kV,230.0
Shahmirpur_132kV,132.0
Shariatpur_132kV,132.0
Sherpur(B)_132kV,132.0
Sherpur_132kV,132.0
Sholoshahar_132kV,132.0
Shyampur_132kV,132.0
Shyampur_230kV,230.0
SiddhirganjDeshEnergyPP_132kV,132.0
SiddhirganjDutchBanglaPP_132kV,132.0
Siddhirganj_132kV,132.0
Siddhirganj_230kV,230.0
Sikalbaha_132kV,132.0
Sikalbaha_230kV,230.0
Sirajganj68MWSolar_132kV,132.0
SirajganjSouthWest_230kV,230.0
Sirajganj_132kV,132.0
Sitalakhya_132kV,132.0
Sonagazi_230kV,230.0
Sonargaon_132kV,132.0
Srimangal_132kV,132.0
Srinagar_132kV,132.0
Sripur_132kV,132.0
Sripur_230kV,230.0
Sunamganj_132kV,132.0
SylhetSouth_132kV,132.0
Sylhet_132kV,132.0
TKCCL_132kV,132.0
Tangail_132kV,132.0
Taraganj_132kV,132.0
TeestaSolar_132kV,132.0
Thakurgaon_132kV,132.0
Tongi-3(Mill Gate)_132kV,132.0
Tongi_132kV,132.0
Tongi_230kV,230.0
USDKWindFarm_132kV,132.0
Ullapara_132kV,132.0
Ullon_132kV,132.0
UnitedPP_132kV,132.0
Uttara 3P_132kV,132.0
Uttara3P_132kV,132.0
Uttara_132kV,132.0
Zigatola_132kV,132.0
