Row 3 contains the names of relevant pypsa variables,,,,,,,,
Line Name,Start Bus,End Bus,Length(km),Conductor,Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),Line Nominal Capacity (MVA)
name,bus0,bus1,,,r,x,b,s_nom
BheramaraHVDC1_400kV_DCtoBangladesh Border1_400kV_DC_Line1,BheramaraHVDC1_400kV_DC,BangladeshBorder1_400kV_DC,27.35,Twin Finch,0.031985,0.129273,1.43E-05,400
BheramaraHVDC1_400kV_DCtoBangladesh Border1_400kV_DC_Line2,BheramaraHVDC1_400kV_DC,BangladeshBorder1_400kV_DC,27.35,Twin Finch,0.031985,0.129273,1.43E-05,400
Aminbazar_400kVtoMeghnaghat_400kV_Line1,Aminbazar_400kV,Meghnaghat_400kV,55,Quad Egret,0.02755,0.081959,2.65E-05,400
Aminbazar_400kVtoMeghnaghat_400kV_Line2,Aminbazar_400kV,Meghnaghat_400kV,55,Quad Egret,0.02755,0.081959,2.65E-05,400
SuryamaninagarRecvBus_132kVtoCumillaSouth_132kV_Line1,SuryamaninagarRecvBus_132kV,CumillaSouth_132kV,47,Twin Finch,0.031985,0.129273,1.43E-05,400
SuryamaninagarRecvBus_132kVtoCumillaSouth_132kV_Line2,SuryamaninagarRecvBus_132kV,CumillaSouth_132kV,47,Twin Finch,0.031985,0.129273,1.43E-05,400
Bibiyana_400kVtoKaliakoir_400kV_Line1,Bibiyana_400kV,Kaliakoir_400kV,169.5,Twin Finch,0.031985,0.129273,1.43E-05,400
Bibiyana_400kVtoKaliakoir_400kV_Line2,Bibiyana_400kV,Kaliakoir_400kV,169.5,Twin Finch,0.031985,0.129273,1.43E-05,400
AshuganjNorth_400kVtoBhulta_400kV_Line1,AshuganjNorth_400kV,Bhulta_400kV,69,Twin Finch,0.031985,0.129273,1.43E-05,400
AshuganjNorth_400kVtoBhulta_400kV_Line2,AshuganjNorth_400kV,Bhulta_400kV,69,Twin Finch,0.031985,0.129273,1.43E-05,400
Payra_400kVtoGopalganjNorth_400kV_Line1,Payra_400kV,GopalganjNorth_400kV,163.55,Quad Finch,0.013593,0.075809,2.87E-05,400
Payra_400kVtoGopalganjNorth_400kV_Line2,Payra_400kV,GopalganjNorth_400kV,163.55,Quad Finch,0.013593,0.075809,2.87E-05,400
BSRM_230kVtoMirsarai_230kV_Line1,BSRM_230kV,Mirsarai_230kV,16.5,Twin Finch,0.027187,0.129273,1.43E-05,400
BSRM_230kVtoMirsarai_230kV_Line2,BSRM_230kV,Mirsarai_230kV,16.5,Twin Finch,0.027187,0.129273,1.43E-05,400
BheramaraHVDC2_400kV_DCtoBangladeshBorder2_400kV_DC_Line1,BheramaraHVDC2_400kV_DC,BangladeshBorder2_400kV_DC,28,Twin Finch,0.031985,0.129273,1.43E-05,400
BheramaraHVDC2_400kV_DCtoBangladeshBorder2_400kV_DC_Line2,BheramaraHVDC2_400kV_DC,BangladeshBorder2_400kV_DC,28,Twin Finch,0.031985,0.129273,1.43E-05,400
PayraPP_400kVtoPayra_400kV_Line1,PayraPP_400kV,Payra_400kV,1.2,Quad Finch,0.06397,0.2362,7.17E-06,400
PayraPP_400kVtoPayra_400kV_Line2,PayraPP_400kV,Payra_400kV,1.2,Quad Finch,0.06397,0.2362,7.17E-06,400
Banskhali_400kVtoMadunaghatNew_400kV_Line1,Banskhali_400kV,MadunaghatNew_400kV,55.5,Quad Finch,0.015992,0.075809,2.87E-05,400
Banskhali_400kVtoMadunaghatNew_400kV_Line2,Banskhali_400kV,MadunaghatNew_400kV,55.5,Quad Finch,0.015992,0.075809,2.87E-05,400
AdaniPPRecvBus_400kVtoRahanpur_400kV_Line1,AdaniPPRecvBus_400kV,Rahanpur_400kV,134,Twin Finch,0.015992,0.075809,2.87E-05,400
AdaniPPRecvBus_400kVtoRahanpur_400kV_Line2,AdaniPPRecvBus_400kV,Rahanpur_400kV,134,Twin Finch,0.015992,0.075809,2.87E-05,400
Rampal_400kVtoGopalganjNorth_400kV_Line1,Rampal_400kV,GopalganjNorth_400kV,96.7,Quad Finch,0.013593,0.075809,2.87E-05,400
Rampal_400kVtoGopalganjNorth_400kV_Line2,Rampal_400kV,GopalganjNorth_400kV,96.7,Quad Finch,0.013593,0.075809,2.87E-05,400
GopalganjNorth_400kVtoAminbazar_400kV_Line1,GopalganjNorth_400kV,Aminbazar_400kV,75.3,Quad Finch,0.013593,0.075809,2.87E-05,400
GopalganjNorth_400kVtoAminbazar_400kV_Line2,GopalganjNorth_400kV,Aminbazar_400kV,75.3,Quad Finch,0.013593,0.075809,2.87E-05,400
BoguraWest_400kVtoRahanpur_400kV_Line1,BoguraWest_400kV,Rahanpur_400kV,105,Twin Finch,0.027187,0.129273,1.43E-05,400
BoguraWest_400kVtoRahanpur_400kV_Line2,BoguraWest_400kV,Rahanpur_400kV,105,Twin Finch,0.027187,0.129273,1.43E-05,400
Barishal307MWPP_400kVtoPayraPP_400kV_Line1,Barishal307MWPP_400kV,PayraPP_400kV,27.8,Quad Finch,0.06397,0.2362,7.17E-06,400
Barishal307MWPP_400kVtoPayraPP_400kV_Line2,Barishal307MWPP_400kV,PayraPP_400kV,27.8,Quad Finch,0.06397,0.2362,7.17E-06,400
Matarbari_400kVtoBanskhali_400kV_Line1,Matarbari_400kV,Banskhali_400kV,38,Quad Finch,0.015992,0.075809,2.87E-05,400
Matarbari_400kVtoBanskhali_400kV_Line2,Matarbari_400kV,Banskhali_400kV,38,Quad Finch,0.015992,0.075809,2.87E-05,400
MadunaghatNew_400kVtoKorerhat_400kV_Line1,MadunaghatNew_400kV,Korerhat_400kV,66,Quad Finch,0.015992,0.075809,2.87E-05,400
MadunaghatNew_400kVtoKorerhat_400kV_Line2,MadunaghatNew_400kV,Korerhat_400kV,66,Quad Finch,0.015992,0.075809,2.87E-05,400
Meghnaghat_400kVtoKorerhat_400kV_Line1,Meghnaghat_400kV,Korerhat_400kV,151,Quad Finch,0.015992,0.075809,2.87E-05,400
Meghnaghat_400kVtoKorerhat_400kV_Line2,Meghnaghat_400kV,Korerhat_400kV,151,Quad Finch,0.015992,0.075809,2.87E-05,400
RNPP_400kVtoBoguraWest_400kV_Line1,RNPP_400kV,BoguraWest_400kV,90,Quad Finch,0.013593,0.075809,2.87E-05,400
BoguraWest_400kVtoBarapukuriaNorth_400kV_Line1,BoguraWest_400kV,BarapukuriaNorth_400kV,112,Quad Finch,0.013593,0.075809,2.87E-05,400
BoguraWest_400kVtoBarapukuriaNorth_400kV_Line2,BoguraWest_400kV,BarapukuriaNorth_400kV,112,Quad Finch,0.013593,0.075809,2.87E-05,400
PayraPP_400kVtoAmtali_400kV_Line1,PayraPP_400kV,Amtali_400kV,17,Quad Finch,0.013593,0.075809,2.87E-05,400
PayraPP_400kVtoAmtali_400kV_Line2,PayraPP_400kV,Amtali_400kV,17,Quad Finch,0.013593,0.075809,2.87E-05,400
GopalganjNorth_400kVtoAmtali_400kV_Line1,GopalganjNorth_400kV,Amtali_400kV,147,Quad Finch,0.013593,0.075809,2.87E-05,400
GopalganjNorth_400kVtoAmtali_400kV_Line2,GopalganjNorth_400kV,Amtali_400kV,147,Quad Finch,0.013593,0.075809,2.87E-05,400
Amtali_400kVtoRNPL_400kV_Line1,Amtali_400kV,RNPL_400kV,9.9,Quad Finch,0.015992,0.075809,2.87E-05,400
Amtali_400kVtoRNPL_400kV_Line2,Amtali_400kV,RNPL_400kV,9.9,Quad Finch,0.015992,0.075809,2.87E-05,400
Bogura_400kVtoKaliakoir_400kV_Line1,Bogura_400kV,Kaliakoir_400kV,73,Quad Finch,0.013593,0.075809,2.87E-05,400
Bogura_400kVtoKaliakoir_400kV_Line2,Bogura_400kV,Kaliakoir_400kV,73,Quad Finch,0.013593,0.075809,2.87E-05,400
Aminbazar_400kVtoKaliakoir_400kV_Line1,Aminbazar_400kV,Kaliakoir_400kV,51,Quad Finch,0.013593,0.075809,2.87E-05,400
RNPP_400kVtoGopalganjNorth_400kV_Line1,RNPP_400kV,GopalganjNorth_400kV,156,Quad Finch,0.013593,0.075809,2.87E-05,400
Ghorashal_230kVtoIshwardi_230kV_Line1,Ghorashal_230kV,Ishwardi_230kV,175,Mallard,0.08831,0.2441,6.87E-06,230
Ghorashal_230kVtoIshwardi_230kV_Line2,Ghorashal_230kV,Ishwardi_230kV,175,Mallard,0.08831,0.2441,6.87E-06,230
Tongi_230kVtoGhorashal_230kV_Line1,Tongi_230kV,Ghorashal_230kV,27,Mallard,0.070648,0.2441,6.87E-06,230
Tongi_230kVtoGhorashal_230kV_Line2,Tongi_230kV,Ghorashal_230kV,27,Mallard,0.070648,0.2441,6.87E-06,230
Ghorashal_230kVtoAshuganj_230kV_Line1,Ghorashal_230kV,Ashuganj_230kV,44,Mallard,0.08831,0.2441,6.87E-06,230
Ghorashal_230kVtoAshuganj_230kV_Line2,Ghorashal_230kV,Ashuganj_230kV,44,Mallard,0.08831,0.2441,6.87E-06,230
Raozan_230kVtoHathazari_230kV_Line1,Raozan_230kV,Hathazari_230kV,22.5,Twin 300 sqmm,0.1101,0.2559,6.57E-06,230
Raozan_230kVtoHathazari_230kV_Line2,Raozan_230kV,Hathazari_230kV,22.5,Twin 300 sqmm,0.1101,0.2559,6.57E-06,230
