Row 3 contains the names of relevant pypsa variables,,,,,,
Load Name,Bus,Load Trafo MVA,Load Split Factor,Load (MW) from PGCB Report,Active Power (MW),Reactive Power (MVar)
name,bus,,,,p_set,q_set
AKSPL_230kV_Load1,AKSPL_230kV,150,0.39,,5.13,1.69
AKSPL_230kV_Load2,AKSPL_230kV,150,0.39,,5.13,1.69
AKSPL_230kV_Load3,AKSPL_230kV,80,0.21,,2.74,0.9
BSRM_230kV_Load1,BSRM_230kV,140,0.5,,93.5,30.73
BSRM_230kV_Load2,BSRM_230kV,140,0.5,,93.5,30.73
Borhanuddin_230kV_Load1,Borhanuddin_230kV,140,0.7,,49.7,16.34
Borhanuddin_230kV_Load2,Borhanuddin_230kV,60,0.3,,21.3,7.0
GPH_230kV_Load1,GPH_230kV,125,0.5,,6,1.97
GPH_230kV_Load2,GPH_230kV,125,0.5,,6,1.97
GhorashalSouthWest_230kV_Load1,GhorashalSouthWest_230kV,140,1.0,,100,32.87
Mirsarai_230kV_Load1,Mirsarai_230kV,140,0.5,,26,8.55
Mirsarai_230kV_Load2,Mirsarai_230kV,140,0.5,,26,8.55
Aftabnagar_132kV_Load1,Aftabnagar_132kV,120,0.5,,21,6.9
Aftabnagar_132kV_Load2,Aftabnagar_132kV,120,0.5,,21,6.9
Agargaon_132kV_Load1,Agargaon_132kV,120,0.5,,61.5,20.21
Agargaon_132kV_Load2,Agargaon_132kV,120,0.5,,61.5,20.21
Agrabad_132kV_Load1,Agrabad_132kV,120,0.5,,27,8.87
Agrabad_132kV_Load2,Agrabad_132kV,120,0.5,,27,8.87
AKSML_132kV_Load1,AKSML_132kV,80,1.0,,6.7,2.2
Amnura_132kV_Load1,Amnura_132kV,50,0.33,,17.33,5.7
Amnura_132kV_Load2,Amnura_132kV,50,0.33,,17.33,5.7
Amnura_132kV_Load3,Amnura_132kV,50,0.33,,17.33,5.7
Ashuganj_132kV_Load1,Ashuganj_132kV,75,0.65,,62.72,20.61
Ashuganj_132kV_Load2,Ashuganj_132kV,41,0.35,,34.28,11.27
Bagerhat_132kV_Load1,Bagerhat_132kV,41,0.26,,20.89,6.87
Bagerhat_132kV_Load2,Bagerhat_132kV,41,0.26,,20.89,6.87
Bagerhat_132kV_Load3,Bagerhat_132kV,75,0.48,,38.22,12.56
Bajitpur_132kV_Load1,Bajitpur_132kV,120,0.5,,43,14.13
Bajitpur_132kV_Load2,Bajitpur_132kV,120,0.5,,43,14.13
Bakerganj_132kV_Load1,Bakerganj_132kV,41,1.0,,13,4.27
Bakulia_132kV_Load1,Bakulia_132kV,64,0.23,,23.25,7.64
Bakulia_132kV_Load2,Bakulia_132kV,64,0.23,,23.25,7.64
Bakulia_132kV_Load3,Bakulia_132kV,75,0.27,,27.25,8.96
Bakulia_132kV_Load4,Bakulia_132kV,75,0.27,,27.25,8.96
Banani_132kV_Load1,Banani_132kV,120,0.5,,24.6,8.09
Banani_132kV_Load2,Banani_132kV,120,0.5,,24.6,8.09
Bangabhaban_132kV_Load1,Bangabhaban_132kV,120,0.77,,16.26,5.34
Bangabhaban_132kV_Load2,Bangabhaban_132kV,35,0.23,,4.74,1.56
Barapukuria_132kV_Load1,Barapukuria_132kV,41,0.26,,16.71,5.49
Barapukuria_132kV_Load2,Barapukuria_132kV,41,0.26,,16.71,5.49
Barapukuria_132kV_Load3,Barapukuria_132kV,75,0.48,,30.57,10.05
Barguna_132kV_Load1,Barguna_132kV,75,0.5,,8,2.63
Barguna_132kV_Load2,Barguna_132kV,75,0.5,,8,2.63
Barishal_132kV_Load1,Barishal_132kV,75,0.38,,36.92,12.14
Barishal_132kV_Load2,Barishal_132kV,120,0.62,,59.08,19.42
