Row 3 contains the names of relevant pypsa variables,,,,,
Transformer Name,Start Bus,End Bus,Trafo Res (pu),Trafo Reac (pu),Nominal Capacity (MVA)
name,bus0,bus1,r,x,s_nom
Purbasadipur_230by132_T1,Purbasadipur_230kV,Purbasadipur_132kV,,,300
Purbasadipur_230by132_T2,Purbasadipur_230kV,Purbasadipur_132kV,,typical,300
Barapukuria_230by132_T1,Barapukuria_230kV,Barapukuria_132kV,,,225
Barapukuria_230by132_T2,Barapukuria_230kV,Barapukuria_132kV,,,300
Barapukuria_230by132_T3,Barapukuria_230kV,Barapukuria_132kV,,,300
Rahanpur_400by132_T1,Rahanpur_400kV,Rahanpur_132kV,,,520
Rahanpur_400by132_T2,Rahanpur_400kV,Rahanpur_132kV,,,520
BoguraWest_400by230_T1,BoguraWest_400kV,BoguraWest_230kV,,,750
BoguraWest_400by230_T2,BoguraWest_400kV,BoguraWest_230kV,,,750
BoguraWest_400by230_T3,BoguraWest_400kV,BoguraWest_230kV,,,750
BoguraSouth_230by132_T1,BoguraSouth_230kV,BoguraSouth_132kV,,,300
BoguraSouth_230by132_T2,BoguraSouth_230kV,BoguraSouth_132kV,,,300
BoguraSouth_230by132_T3,BoguraSouth_230kV,BoguraSouth_132kV,,,225
BoguraSouth_230by132_T4,BoguraSouth_230kV,BoguraSouth_132kV,,,225
RajshahiNorth_230by132_T1,RajshahiNorth_230kV,RajshahiNorth_132kV,,,300
RajshahiNorth_230by132_T2,RajshahiNorth_230kV,RajshahiNorth_132kV,,,300
RNPP_400by230_T1,RNPP_400kV,RNPP_230kV,,,520
RNPP_400by230_T2,RNPP_400kV,RNPP_230kV,,,520
Ishurdi_230by132_T1,Ishurdi_230kV,Ishurdi_132kV,,,225
Ishurdi_230by132_T2,Ishurdi_230kV,Ishurdi_132kV,,,225
Ishurdi_230by132_T3,Ishurdi_230kV,Ishurdi_132kV,,,225
Bheramara_230by132_T1,Bheramara_230kV,Bheramara_132kV,,,225
Bheramara_230by132_T2,Bheramara_230kV,Bheramara_132kV,,,225
Baghabari_230by132_T1,Baghabari_230kV,Baghabari_132kV,,,300
Baghabari_230by132_T2,Baghabari_230kV,Baghabari_132kV,,,225
Faridpur_230by132_T1,Faridpur_230kV,Faridpur_132kV,,,350
Faridpur_230by132_T2,Faridpur_230kV,Faridpur_132kV,,,350
Jhenaidah_230by132_T1,Jhenaidah_230kV,Jhenaidah_132kV,,,300
Jhenaidah_230by132_T2,Jhenaidah_230kV,Jhenaidah_132kV,,,300
KhulnaSouth_230by132_T1,KhulnaSouth_230kV,KhulnaSouth_132kV,,,225
KhulnaSouth_230by132_T2,KhulnaSouth_230kV,KhulnaSouth_132kV,,,225
KhulnaSouth_230by132_T3,KhulnaSouth_230kV,KhulnaSouth_132kV,,,300
BarisalNorth_230by132_T1,BarisalNorth_230kV,BarisalNorth_132kV,,,300
BarisalNorth_230by132_T2,BarisalNorth_230kV,BarisalNorth_132kV,,,300
GopalganjNorth_400by230_T1,GopalganjNorth_400kV,GopalganjNorth_230kV,,,750
GopalganjNorth_400by132_T1,GopalganjNorth_400kV,GopalganjNorth_132kV,,,325
GopalganjNorth_400by132_T2,GopalganjNorth_400kV,GopalganjNorth_132kV,,,325
GopalganjNorth_400by132_T3,GopalganjNorth_400kV,GopalganjNorth_132kV,,,325
RampalPP_400by230_T1,RampalPP_400kV,RampalPP_230kV,,,520
RampalPP_400by230_T2,RampalPP_400kV,RampalPP_230kV,,,520
Payra_400by132_T1,Payra_400kV,Payra_132kV,,,325
Payra_400by132_T2,Payra_400kV,Payra_132kV,,,325
Kaliakoir_400by230_T1,Kaliakoir_400kV,Kaliakoir_230kV,,,520
Kaliakoir_400by230_T2,Kaliakoir_400kV,Kaliakoir_230kV,,,520
Kaliakoir_400by132_T1,Kaliakoir_400kV,Kaliakoir_132kV,,,325
Kaliakoir_400by132_T2,Kaliakoir_400kV,Kaliakoir_132kV,,,325
Kaliakoir_400by132_T3,Kaliakoir_400kV,Kaliakoir_132kV,,,325
Kaliakoir_400by132_T4,Kaliakoir_400kV,Kaliakoir_132kV,,,300
Sripur_230by132_T1,Sripur_230kV,Sripur_132kV,,,300
Sripur_230by132_T2,Sripur_230kV,Sripur_132kV,,,300
Tongi_230by132_T1,Tongi_230kV,Tongi_132kV,,,225
Tongi_230by132_T2,Tongi_230kV,Tongi_132kV,,,225
Tongi_230by132_T3,Tongi_230kV,Tongi_132kV,,,225
Ghorashal_230by132_T1,Ghorashal_230kV,Ghorashal_132kV,,,125
Ghorashal_230by132_T2,Ghorashal_230kV,Ghorashal_132kV,,,125
AshuganjNorth_400by230_T1,AshuganjNorth_400kV,Ashuganj_230kV,,,325
AshuganjNorth_400by230_T2,AshuganjNorth_400kV,Ashuganj_230kV,,,325
Ashuganj_230by132_T1,Ashuganj_230kV,Ashuganj_132kV,,,300
Ashuganj_230by132_T2,Ashuganj_230kV,Ashuganj_132kV,,,300
Bhulta_400by230_T1,Bhulta_400kV,Bhulta_230kV,,,520
Bhulta_400by230_T2,Bhulta_400kV,Bhulta_230kV,,,520
Bhulta_230by132_T1,Bhulta_230kV,Bhulta_132kV,,,300
Bhulta_230by132_T2,Bhulta_230kV,Bhulta_132kV,,,300
Aminbazar_400by230_T1,Aminbazar_400kV,Aminbazar_230kV,,,520
Aminbazar_400by230_T2,Aminbazar_400kV,Aminbazar_230kV,,,520
Aminbazar_400by230_T3,Aminbazar_400kV,Aminbazar_230kV,,,520
Aminbazar_230by132_T1,Aminbazar_230kV,Aminbazar_132kV,,,225
Aminbazar_230by132_T2,Aminbazar_230kV,Aminbazar_132kV,,,225
Aminbazar_230by132_T3,Aminbazar_230kV,Aminbazar_132kV,,,225
Keraniganj_230by132_T1,Keraniganj_230kV,Keraniganj_132kV,,,300
Keraniganj_230by132_T2,Keraniganj_230kV,Keraniganj_132kV,,,300
Keraniganj_230by132_T3,Keraniganj_230kV,Keraniganj_132kV,,,300
Agargaon_230by132_T1,Agargaon_230kV,Agargaon_132kV,,,300
Agargaon_230by132_T2,Agargaon_230kV,Agargaon_132kV,,,300
Rampura_230by132_T1,Rampura_230kV,Rampura_132kV,,,450
Rampura_230by132_T2,Rampura_230kV,Rampura_132kV,,,450
Rampura_230by132_T3,Rampura_230kV,Rampura_132kV,,,450
Maniknagar_230by132_T1,Maniknagar_230kV,Maniknagar_132kV,,,300
Maniknagar_230by132_T2,Maniknagar_230kV,Maniknagar_132kV,,,300
Hasnabad_230by132_T1,Hasnabad_230kV,Hasnabad_132kV,,,225
Hasnabad_230by132_T2,Hasnabad_230kV,Hasnabad_132kV,,,225
Hasnabad_230by132_T3,Hasnabad_230kV,Hasnabad_132kV,,,225
Shyampur_230by132_T1,Shyampur_230kV,Shyampur_132kV,,,300
Shyampur_230by132_T2,Shyampur_230kV,Shyampur_132kV,,,300
Siddhirganj_230by132_T1,Siddhirganj_230kV,Siddhirganj_132kV,,,300
Siddhirganj_230by132_T2,Siddhirganj_230kV,Siddhirganj_132kV,,,300
Haripur_230by132_T1,Haripur_230kV,Haripur_132kV,,,225
Haripur_230by132_T2,Haripur_230kV,Haripur_132kV,,,225
Haripur_230by132_T3,Haripur_230kV,Haripur_132kV,,,225
