name,capacity_mw,area,energy_kwh,is_import,fuel,producer,match,tech,tier_a_tk_per_kwh,tier_b_tk_per_kwh,tier_a_cost_tk,tier_b_cost_tk
Adani Power Jharkhanda Ltd,1469.13,Western,33521369.0,True,Import,Import,import,Import,12.0,12.0,402256428.0,402256428.0
Payra 1320 MW,1244.0,Western,27454545.45,False,Coal,BCPCL,exact,Steam Turbine,5.590000000000001,2.4816,153470909.06550002,68131199.98872
SS Power,1224.0,Eastern,27234543.0,False,Coal,IPP,exact,Steam Turbine,5.590000000000001,2.4876,152241095.37000003,67748649.1668
Matarbari 2*600 MW (CPGCBL),1150.0,Eastern,25447272.73,False,Coal,CPGCL,exact,Steam Turbine,5.590000000000001,2.514,142250254.56070003,63974443.64321999
Patuakhali 1320 MW (RNPL),1244.0,Western,21949090.0,False,Coal,RNPL,exact,Steam Turbine,5.590000000000001,2.4816,122695413.10000001,54468861.743999995
Rampal 1320 MW (BIFPCL),1234.2,Western,21810910.0,False,Coal,PDB,exact,Steam Turbine,5.590000000000001,2.484,121922986.90000002,54178300.44
Bheramara (HVDC ),1000.0,Western,19010909.0,True,Import,Import,import,Import,8.8,8.8,167295999.20000002,167295999.20000002
Meghnaghat CCPP(Summit)-2 (Gas),583.0,Eastern,11658399.0,False,Gas,IPP,suffix,CCGT,3.0140000000000002,2.3316,35138414.586,27182723.1084
Unique Meghnaghat Power Limited (UMPL),584.0,Eastern,10751818.18,False,Gas,IPP,exact,ICE,3.5768000000000004,3.042,38457103.266224004,32707030.903559998
Sirajgonj 400 MW CCPP Unit-4 (Gas),413.792,Western,9149818.0,False,Gas,NWPGCL,suffix,CCGT,3.0140000000000002,2.5031999999999996,27577551.452000003,22903824.4176
Haripur 412 MW CCPP,412.0,Eastern,8823600.0,False,Gas,EGCB,exact,CCGT,3.0140000000000002,2.5056,26594330.400000002,22108412.16
Bibiana-II 341 MW CCPP (Summit),341.0,Eastern,7510000.0,False,Gas,IPP,exact,CCGT,3.0140000000000002,2.6052000000000004,22635140.0,19565052.000000004
Siddhirganj 335 MW CCPP,335.0,Eastern,7444058.0,False,Gas,EGCB,exact,CCGT,3.0140000000000002,2.6148,22436390.812000003,19464722.8584
Ashuganj 450 MW CCPP(North),350.01,Eastern,7361600.0,False,Gas,APSCL,exact,CCGT,3.0140000000000002,2.592,22187862.400000002,19081267.2
Bibiyana-III 400 MW CCPP,400.0,Eastern,6858000.0,False,Gas,PDB,exact,CCGT,3.0140000000000002,2.5212000000000003,20670012.0,17290389.6
Ashuganj 450 MW CCPP(South),342.01,Eastern,6158000.0,False,Gas,APSCL,exact,CCGT,3.0140000000000002,2.604,18560212.0,16035432.0
Barisal 307 MW,307.0,Western,5760000.0,False,Coal,BCPCL,exact,Steam Turbine,5.590000000000001,3.12,32198400.000000004,17971200.0
Ashuganj 420 MW CCPP(East),393.0,Eastern,5718500.0,False,Gas,APSCL,exact,CCGT,3.0140000000000002,2.5308,17235559.0,14472379.8
Bhola Nutan Biddut BD LTD (Gas),220.0,Western,5363810.0,False,Gas,IPP,suffix,ICE,3.5768000000000004,3.4187999999999996,19185275.608000003,18337793.628
Sikalbaha 225MW CCPP (Gas),225.0,Eastern,5143206.0,False,Gas,PDB,suffix,CCGT,3.0140000000000002,2.826,15501622.884000001,14534700.156
Ashuganj CCPP 225 MW,221.25,Eastern,4934000.0,False,Gas,APSCL,exact,CCGT,3.0140000000000002,2.8356,14871076.000000002,13990850.4
Meghnaghat CCPP(Summit),335.0,Eastern,4897745.0,False,Gas,IPP,exact,CCGT,3.0140000000000002,2.6148,14761803.430000002,12806623.625999998
Barapukuria 275 MW TPP Unit-3,274.0,Western,4633000.0,False,Coal,PDB,exact,Steam Turbine,5.590000000000001,3.1572,25898470.000000004,14627307.6
Sirajgonj 225MW CCPP Unit-3 (Gas),220.0,Western,3948582.0,False,Gas,NWPGCL,suffix,CCGT,3.0140000000000002,2.838,11901026.148,11206075.716
Sirajgonj 225MW CCPP Unit-2 (Gas),220.0,Western,3919609.0,False,Gas,NWPGCL,suffix,CCGT,3.0140000000000002,2.838,11813701.526,11123850.342
Sirajgonj 225MW CCPP Unit-1 (Gas),214.0,Western,3767818.0,False,Gas,NWPGCL,suffix,CCGT,3.0140000000000002,2.8536000000000006,11356203.452000001,10751845.444800003
Import (Tripura),160.0,Eastern,3628800.0,True,Import,Import,import,Import,9.0,9.0,32659200.0,32659200.0
Chandpur 150 MW CCPP,163.0,Eastern,3422747.0,False,Gas,PDB,exact,CCGT,3.0140000000000002,3.0096,10316159.458,10301099.371199999
Kushiara 163 MW CCPP (KP),163.0,Eastern,3264954.55,False,Gas,IPP,exact,CCGT,3.0140000000000002,3.0096,9840573.013700001,9826207.21368
Shajibazar 330 MW CCPP,330.0,Eastern,3255300.0,False,Gas,PDB,exact,CCGT,3.0140000000000002,2.622,9811474.200000001,8535396.6
Kodda 150 MW PP BRPL,149.36,Eastern,2940960.0,False,HFO,PDB-RPCL,exact,ICE,15.0092,4.712400000000001,44141456.832,13858979.904000001
Sylhet 225 MW CCPP,231.0,Eastern,2414770.0,False,Gas,PDB,exact,CCGT,3.0140000000000002,2.8116,7278116.78,6789367.3319999995
"Karnaphuli Hydro PP Unit-1,2,3,4, 5",230.0,Eastern,2313940.0,False,Hydro,PDB,exact,Hydro,0.1,0.18,231394.0,416509.2
Sreepur 150 MW PP BRPL,160.0,Eastern,2298000.0,False,HFO,PDB-RPCL,exact,ICE,15.0092,4.686,34491141.6,10768428.0
Kodda 300 MW PP Unit-2 (Summit),300.0,Eastern,1814575.0,False,HFO,IPP,exact,ICE,15.0092,4.4483999999999995,27235319.09,8071955.429999999
Kodda 149 MW PP Unit-1 (Summit),149.0,Eastern,1739520.0,False,HFO,IPP,exact,ICE,15.0092,4.7136000000000005,26108803.584,8199401.472000001
Karnaphuli Power Ltd.,110.0,Eastern,1732944.0,False,HFO,IPP,exact,ICE,15.0092,4.833600000000001,26010103.0848,8376358.118400001
Mymensingh 200 MW PP (United),200.0,Eastern,1639200.0,False,HFO,IPP,exact,ICE,15.0092,4.5996,24603080.64,7539664.319999999
Shahjibazar 86MW PP (Shahjibazar),86.0,Eastern,1604160.0,False,Gas,RPP,exact,ICE,3.5768000000000004,3.8244000000000002,5737759.488000001,6134949.504000001
Bhola 225 MW CCPP,194.0,Western,1548000.0,False,Gas,PDB,exact,CCGT,3.0140000000000002,2.9088,4665672.0,4502822.399999999
Gazipur 100 MW PP,105.0,Eastern,1331098.0,False,HFO,RPCL,exact,ICE,15.0092,4.852799999999999,19978716.1016,6459552.374399999
Jamalpur 115 MW PP (United),115.0,Eastern,1212000.0,False,HFO,IPP,exact,ICE,15.0092,4.815600000000001,18191150.4,5836507.200000001
Ashuganj 51 MW PP (Midland),51.0,Eastern,1164864.0,False,Gas,IPP,exact,ICE,3.5768000000000004,4.0704,4166485.5552000003,4741462.425600001
Teesta Solar Limited,200.0,Western,1159920.0,False,Solar,BCPCL,exact,Solar PV,0.0,0.0,0.0,0.0
Sikalbaha 105 MW PP (Baraka Sikalbaha),105.0,Eastern,993599.0,False,HFO,IPP,exact,ICE,15.0092,4.852799999999999,14913126.1108,4821737.2272
Rangpur 113 MW PP (Confidence),113.0,Western,978316.0,False,HFO,IPP,exact,ICE,15.0092,4.822799999999999,14683740.5072,4718222.404799999
Feni Lanka Power,114.0,Eastern,949620.0,False,HFO,IPP,exact,ICE,15.0092,4.8191999999999995,14253036.504,4576408.704
Ashuganj TSK 50 MW PP,46.701,Eastern,922464.0,False,Gas,APSCL,exact,ICE,3.5768000000000004,4.0956,3299469.2352000005,3778043.5584
HVDC(Nepal),40.0,Western,912000.0,True,Import,Import,import,Import,8.2,8.2,7478399.999999999,7478399.999999999
Barapukuria TPP Unit-1 & 2,170.0,Western,883200.0,False,Coal,PDB,exact,Steam Turbine,5.590000000000001,3.2952000000000004,4937088.000000001,2910320.64
