Row 3 contains the names of relevant pypsa variables,,,,,,
Area,Name,Technology,Fuel,Bus,Present Capacity (MW),Marginal Cost (USD/MWh)
,name,,,bus,p_nom,marginal_cost
Dhaka,Ghorasal Repowered CCPP Unit-3,CCGT,,GhorashalSouthWest_230kV,260,
,Ghorasal Repowered CCPP Unit-4,CCGT,,GhorashalSouthWest_230kV,240,
,Ghorasal TPP Unit-5,OCGT,,GhorashalSouthWest_230kV,190,
,Ghorasal 365 MW CCPP Unit-7,CCGT,,GhorashalSouthWest_230kV,365,
,Ghorashal 108 MW PP (Regent),ICE,,GhorashalSouthWest_230kV,97.7,
,Haripur GTPP,OCGT,,Haripur_132kV,20,
,Haripur 412 MW CCPP,CCGT,,Haripur_132kV,412,
,Meghnaghat 450 MW CCPP (MPL),CCGT,,Meghnaghat_230kV,450,
,Meghnaghat CCPP(Summit),CCGT,,Meghnaghat_230kV,335,
,Madanganj-55 MW PP(Summit),,,Madanganj_132kV,55,
,Siddhirganj 210 MW TPP,,,Haripur_230kV,115,
,Siddhirganj 2*120 MW GTPP,,,Siddhirganj_132kV,210,
,Siddhirganj 335 MW CCPP,CCGT,,Siddhirganj_230kV,335,
,Gagnagar 102 MW PP (Digital Power),,,Sitalakhya_132kV,102,
,Kamalaghat 54 MW PP(Banco Energy),,,Munshiganj_132kV,53.97,
,Kodda 150 MW PP BRPL,,,Kodda_132kV,149.36,
,Manikganj 55 MW PP (Northern),,,Savar_132kV,55,
,Nababganj 55 MW PP (Southern power ),,,Hasnabad_132kV,55,
,Summit Power Ashulia,,,Savar_132kV,33.75,
,Summit Power Madhabdi,,,Narsingdi_132kV,23,
,Gazipur 52 MW PP,,,Kodda_132kV,52.194,
,Tongi 80 MW GTPP,,,Tongi_132kV,105,
,Kodda 300 MW PP Unit-2 (Summit),,,Tongi_230kV,300,
,Kodda 149 MW PP Unit-1 (Summit),,,Kodda_132kV,149,
,Gazipur 100 MW PP,,,Kodda_132kV,105,
,Meghnaghat 104 MW PP (OPCL),,,Sonargaon_132kV,104,
,Manikganj 162MW PP(MPGL),,,Manikganj_132kV,162,
,Spectra Solar Plant Ltd.,,,Manikganj_132kV,35,
,Kanchan Purbachal Power Generation Ltd.,,,Purbachal_132kV,55,
,Unique Meghnaghat Power Limited (UMPL),,,Meghnaghat_400kV,584,
,Meghnaghat CCPP(Summit)-2,CCGT,,Meghnaghat_400kV,583,
