start_node,end_node,voltage_level,approx_length_km,status,line_name
Bheramara,Bangladesh Border(Baharampur),400 kV,27.0,Existing,Bheramara_400kVtoBangladesh Border(Baharampur)_400kV_Line1
Bheramara,Bangladesh Border(Baharampur),400 kV,27.0,Existing,Bheramara_400kVtoBangladesh Border(Baharampur)_400kV_Line2
Aminbazar,Meghnaghat,400 kV,55.0,Existing,Aminbazar_400kVtoMeghnaghat_400kV_Line1
Aminbazar,Meghnaghat,400 kV,55.0,Existing,Aminbazar_400kVtoMeghnaghat_400kV_Line2
Comilla(N),Bangladesh Border,400 kV,28.0,Existing,Comilla(N)_400kVtoBangladesh Border_400kV_Line1
Comilla(N),Bangladesh Border,400 kV,28.0,Existing,Comilla(N)_400kVtoBangladesh Border_400kV_Line2
Bibiyana,Kaliakoir,400 kV,170.0,Existing,Bibiyana_400kVtoKaliakoir_400kV_Line1
Bibiyana,Kaliakoir,400 kV,170.0,Existing,Bibiyana_400kVtoKaliakoir_400kV_Line2
Ashuganj(N),Bhulta,400 kV,69.0,Existing,Ashuganj(N)_400kVtoBhulta_400kV_Line1
Ashuganj(N),Bhulta,400 kV,69.0,Existing,Ashuganj(N)_400kVtoBhulta_400kV_Line2
Payra,Gopalganj(N),400 kV,164.0,Existing,Payra_400kVtoGopalganj(N)_400kV_Line1
Payra,Gopalganj(N),400 kV,164.0,Existing,Payra_400kVtoGopalganj(N)_400kV_Line2
BSRM,Mirsarai,400 kV,16.5,Existing,BSRM_400kVtoMirsarai_400kV_Line1
BSRM,Mirsarai,400 kV,16.5,Existing,BSRM_400kVtoMirsarai_400kV_Line2
Bheramara,Bangladesh Border(Baharampur) 2nd,400 kV,28.0,Existing,Bheramara_400kVtoBangladesh Border(Baharampur) 2nd_400kV_Line1
Bheramara,Bangladesh Border(Baharampur) 2nd,400 kV,28.0,Existing,Bheramara_400kVtoBangladesh Border(Baharampur) 2nd_400kV_Line2
Payra PP,Payra SS,400 kV,1.2,Existing,Payra PP_400kVtoPayra SS_400kV_Line1
Payra PP,Payra SS,400 kV,1.2,Existing,Payra PP_400kVtoPayra SS_400kV_Line2
Banskhali,Madunaghat,400 kV,55.0,Existing,Banskhali_400kVtoMadunaghat_400kV_Line1
Banskhali,Madunaghat,400 kV,55.0,Existing,Banskhali_400kVtoMadunaghat_400kV_Line2
Matarbari,Madunaghat,400 kV,3.0,Existing,Matarbari_400kVtoMadunaghat_400kV_Line1
Matarbari,Madunaghat,400 kV,3.0,Existing,Matarbari_400kVtoMadunaghat_400kV_Line2
Matarbari,Madunaghat,400 kV,3.0,Existing,Matarbari_400kVtoMadunaghat_400kV_Line3
Matarbari,Madunaghat,400 kV,3.0,Existing,Matarbari_400kVtoMadunaghat_400kV_Line4
Monakosa,Rahanpur,400 kV,30.0,Ongoing,Monakosa_400kVtoRahanpur_400kV_Line1
Monakosa,Rahanpur,400 kV,30.0,Ongoing,Monakosa_400kVtoRahanpur_400kV_Line2
Rampal,Gopalganj,400 kV,96.7,Existing,Rampal_400kVtoGopalganj_400kV_Line1
Rampal,Gopalganj,400 kV,96.7,Existing,Rampal_400kVtoGopalganj_400kV_Line2
Gopalganj,Aminbazar(With River),400 kV,75.3,Existing,Gopalganj_400kVtoAminbazar(With River)_400kV_Line1
Gopalganj,Aminbazar(With River),400 kV,75.3,Existing,Gopalganj_400kVtoAminbazar(With River)_400kV_Line2
Gopalganj,Aminbazar River Crossing,400 kV,7.5,Existing,Gopalganj_400kVtoAminbazar River Crossing_400kV_Line1
Gopalganj,Aminbazar River Crossing,400 kV,7.5,Existing,Gopalganj_400kVtoAminbazar River Crossing_400kV_Line2
Bogura(West),Rahanpur,400 kV,105.0,Existing,Bogura(West)_400kVtoRahanpur_400kV_Line1
Bogura(West),Rahanpur,400 kV,105.0,Existing,Bogura(West)_400kVtoRahanpur_400kV_Line2
Barguna PP,Payra PP,400 kV,27.8,Ongoing,Barguna PP_400kVtoPayra PP_400kV_Line1
Matarbari,Banskhali,400 kV,38.0,Existing,Matarbari_400kVtoBanskhali_400kV_Line1
Matarbari,Banskhali,400 kV,38.0,Existing,Matarbari_400kVtoBanskhali_400kV_Line2
Madunaghat,Meghnaghat,400 kV,217.2,Existing,Madunaghat_400kVtoMeghnaghat_400kV_Line1
Madunaghat,Meghnaghat,400 kV,217.2,Existing,Madunaghat_400kVtoMeghnaghat_400kV_Line2
Rooppur,Bogura(West),400 kV,90.0,Existing,Rooppur_400kVtoBogura(West)_400kV_Line1
Bogura(West),Barapukuria,400 kV,112.2,Existing,Bogura(West)_400kVtoBarapukuria_400kV_Line1
Bogura(West),Barapukuria,400 kV,112.2,Existing,Bogura(West)_400kVtoBarapukuria_400kV_Line2
Amtali,Payra,400 kV,5.0,Existing,Amtali_400kVtoPayra_400kV_Line1
Amtali,Payra,400 kV,5.0,Existing,Amtali_400kVtoPayra_400kV_Line2
Amtali,Gopalganj,400 kV,5.0,Existing,Amtali_400kVtoGopalganj_400kV_Line1
Amtali,Gopalganj,400 kV,5.0,Existing,Amtali_400kVtoGopalganj_400kV_Line2
Amtali,RNPL,400 kV,9.9,Existing,Amtali_400kVtoRNPL_400kV_Line1
Amtali,RNPL,400 kV,9.9,Existing,Amtali_400kVtoRNPL_400kV_Line2
Bogura,Kaliakoir (Upto river crossing),400 kV,73.0,Existing,Bogura_400kVtoKaliakoir (Upto river crossing)_400kV_Line1
Bogura,Kaliakoir (Upto river crossing),400 kV,73.0,Existing,Bogura_400kVtoKaliakoir (Upto river crossing)_400kV_Line2
Aminbazar,Kaliakoir,400 kV,51.0,Existing,Aminbazar_400kVtoKaliakoir_400kV_Line1
Roopur,Gopalganj (overhead),400 kV,156.0,Ongoing,Roopur_400kVtoGopalganj (overhead)_400kV_Line1
Roopur,Gopalganj (UG),400 kV,2.0,Ongoing,Roopur_400kVtoGopalganj (UG)_400kV_Line1
