name,bus0,bus1,length,r_ohm_per_km,x_ohm_per_km,b_siemens_per_km,v_nom_kv,n_circuits,conductor,is_lilo,source_name
Bheramara_Bangladesh Border_TL_1,Bheramara_400kV,Bangladesh Border_400kV,27.35,0.026,0.321,3.4e-06,400,2,Twin Finch,False,HVDC Bheramara-Bangladesh Border(Baharampur)
Bheramara_Bangladesh Border_TL_2,Bheramara_400kV,Bangladesh Border_400kV,27.35,0.026,0.321,3.4e-06,400,2,Twin Finch,False,HVDC Bheramara-Bangladesh Border(Baharampur)
Aminbazar_Meghnaghat_TL_1,Aminbazar_400kV,Meghnaghat_400kV,55.0,0.0162,0.297,6.1e-06,400,2,Quad Egret,False,Aminbazar-Meghnaghat
Aminbazar_Meghnaghat_TL_2,Aminbazar_400kV,Meghnaghat_400kV,55.0,0.0162,0.297,6.1e-06,400,2,Quad Egret,False,Aminbazar-Meghnaghat
Cumilla (N)_Bangladesh Border_TL_1,Cumilla (N)_400kV,Bangladesh Border_400kV,28.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Comilla(N)- Bangladesh Border
Cumilla (N)_Bangladesh Border_TL_2,Cumilla (N)_400kV,Bangladesh Border_400kV,28.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Comilla(N)- Bangladesh Border
Bibiyana_Kaliakoir_TL_1,Bibiyana_400kV,Kaliakoir_400kV,169.5,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Bibiyana-Kaliakoir
Bibiyana_Kaliakoir_TL_2,Bibiyana_400kV,Kaliakoir_400kV,169.5,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Bibiyana-Kaliakoir
Ashuganj (N)_Bhulta_TL_1,Ashuganj (N)_400kV,Bhulta_400kV,69.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Ashuganj(N)-Bhulta
Ashuganj (N)_Bhulta_TL_2,Ashuganj (N)_400kV,Bhulta_400kV,69.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Ashuganj(N)-Bhulta
Payra_Gopalganj (N)_TL_1,Payra_400kV,Gopalganj (N)_400kV,163.55,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Payra-Gopalganj(N)
Payra_Gopalganj (N)_TL_2,Payra_400kV,Gopalganj (N)_400kV,163.55,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Payra-Gopalganj(N)
BSRM_230kV_Mirsarai_230kV_TL_1,BSRM_230kV,Mirsarai_230kV,16.5,0.0852,0.4097,2.73e-06,400,2,Twin ACCC Finch,False,BSRM- Mirsarai
BSRM_230kV_Mirsarai_230kV_TL_2,BSRM_230kV,Mirsarai_230kV,16.5,0.0852,0.4097,2.73e-06,400,2,Twin ACCC Finch,False,BSRM- Mirsarai
