,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,,
1,BIPTC 1st Block,Khulna,1x500 MW,,500 MW,,POWER GRID,HVDC,,
2,BIPTC 2nd Block,Khulna,1x500 MW,,500 MW,,POWER GRID,HVDC,,
1,Aminbazar,Dhaka,3x520,,1560,,POWER GRID,Dhaka(N),,
2,Amtali Switching,Barishal,-,,-,,POWER GRID,Khulna,,
3,Ashuganj (N),Cumilla,2x244/325,,650,,APSCL,Cumilla,,
4,Bhulta,Dhaka,2x520,,1040,,POWER GRID,Dhaka(S),,
5,Bibiyana,Sylhet,2x520,,1040,,POWER GRID,Cumilla,,
6,Bogura (W),Rajshahi,3x750,,2250,,POWER GRID,Bogura,,
7,Gopalganj (N),Khulna,2x750,,1500,,POWER GRID,Khulna,,
8,Kaliakoir,Dhaka,2x520,,1040,,POWER GRID,Dhaka(N),,
9,Korerhat,Chattogram,2x1000,,2000,,POWER GRID,Chattogram,,
10,Meghnaghat,Dhaka,3x750,,2250,,POWER GRID,Dhaka(S),,
11,Madunaghat,Chattogram,3x750,,2250,,POWER GRID,Chattogram,,
12,Rampal,Khulna,2x520,,1040,,BIFPCL,Khulna,,
13,RNPP,Rajshahi,2x520,,1040,,RNPP,HVDC,,
1,Gopalganj (N),Khulna,3x325,,975,,POWER GRID,Khulna,,
2,Kaliakoir,Dhaka,"3x325, 1x300",,1275,,POWER GRID,Dhaka(N),,
3,Rahanpur,Rajshahi,2x520,,1040,,POWER GRID,Bogura,,
4,Payra,Barishal,2x325,,650,,POWER GRID,Khulna,,
1,Agargaon,Dhaka,2x300,,600,,POWER GRID,Dhaka(N),,
2,Aminbazar,Dhaka,3x225,,675,,POWER GRID,Dhaka(N),,
3,Ashuganj,Cumilla,2x300,,600,,APSCL,Cumilla,,
4,Baghabari,Rajshahi,"1x225, 1x300",,525,,POWER GRID,HVDC,,
5,Barapukuria,Rangpur,"2x225
1x225/300",,750,,POWER GRID,Bogura,,
6,Barishal (N),Barishal,2x300,,600,,POWER GRID,Khulna,,
7,Bheramara,Khulna,2x225,,450,,POWER GRID,HVDC,,
8,Bhulta,Dhaka,2x300,,600,,POWER GRID,Dhaka(S),,
9,Bogura (S),Rajshahi,"2x225(7x75),
2x225/300",,1050,,POWER GRID,Bogura,,
10,Chowmuhani,Cumilla,2x350,,700,,POWER GRID,Cumilla,,
11,Cumilla (N),Cumilla,3x225,,675,,POWER GRID,Cumilla,,
12,Faridpur,Khulna,2x350,,700,,POWER GRID,Khulna,,
13,Fenchuganj,Sylhet,2x300,,600,,POWER GRID,Cumilla,,
14,Feni (N),Cumilla,2x300,,600,,POWER GRID,Cumilla,,
15,Ghorashal,Dhaka,2x125,,250,,BPDB,Dhaka(S),,
16,Haripur,Dhaka,3x225(10x75),,675,,POWER GRID,Dhaka(S),,
17,Hasnabad,Dhaka,3x225(10x75),,675,,POWER GRID,Dhaka(S),,
18,Hathazari,Chattogram,4x150,,600,,POWER GRID,Chattogram,,
19,Jhenaidah(S),Khulna,2x300,,600,,POWER GRID,HVDC,,
20,Ishwardi,Rajshahi,3x225,,675,,POWER GRID,HVDC,,
21,Kachua,Cumilla,2x350,,700,,POWER GRID,Cumilla,,
22,Keraniganj,Dhaka,3x300,,900,,POWER GRID,Dhaka(S),,
23,Khulna (S),Khulna,"2x225(7x75)
1x300",,750,,POWER GRID,Khulna,,
24,Madunaghat,Chattogram,3x300,,900,,POWER GRID,Chattogram,,
25,Maniknagar,Dhaka,2x300,,600,,POWER GRID,Dhaka(S),,
26,"Meghnaghat
Switching",Dhaka,-,,-,,POWER GRID,Dhaka(S),,
27,Purbasadipur,Rangpur,2x300,,600,,POWER GRID,Bogura,,
28,Rajshahi(N),Rajshahi,2x300,,600,,POWER GRID,Bogura,,
29,Rampura,Dhaka,3x450,,1350,,POWER GRID,Dhaka(S),,
30,Rampur,Chattogram,2x300,,600,,POWER GRID,Chattogram,,
31,Siddhirganj,Dhaka,2x300,,600,,POWER GRID,Dhaka(S),,
32,Sirajganj Switching,Rajshahi,"-
Pag",,"-
e 1 of 6",,POWER GRID,Bogura,,
33,Shyampur,Dhaka,2x225/300,,600,,POWER GRID,Dhaka(S),,
,,,,,,,,,,
,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,,
34,Sripur,Dhaka,2x225/300,,600,,POWER GRID,Dhaka(N),,
35,Tongi,Dhaka,3x225(10x75),,675,,POWER GRID,Dhaka(N),,
