Area,Name,Technology,Fuel,Bus,Present Capacity (MW),Marginal Cost (USD/MWh)
Dhaka,Ghorasal Repowered CCPP Unit-3,CCGT,Gas,GhorashalSouthWest_230kV,260.0,22.89
Dhaka,Ghorasal Repowered CCPP Unit-4,CCGT,Gas,GhorashalSouthWest_230kV,240.0,23.26
Dhaka,Ghorasal TPP Unit-5,OCGT,Gas,GhorashalSouthWest_230kV,190.0,35.27
Dhaka,Ghorasal 365 MW CCPP Unit-7,CCGT,Gas,GhorashalSouthWest_230kV,365.0,21.41
Dhaka,Ghorashal 108 MW PP (Regent),ICE,Gas,GhorashalSouthWest_230kV,97.7,31.39
Dhaka,Haripur GTPP,OCGT,Gas,Haripur_132kV,20.0,45.09
Dhaka,Haripur 412 MW CCPP,CCGT,Gas,Haripur_132kV,412.0,20.88
Dhaka,Meghnaghat 450 MW CCPP (MPL),CCGT,Gas,Meghnaghat_230kV,450.0,20.5
Dhaka,Meghnaghat CCPP(Summit),CCGT,Gas,Meghnaghat_230kV,335.0,21.79
Dhaka,Madanganj-55 MW PP(Summit),ICE,HFO,Madanganj_132kV,55.0,42.66
Dhaka,Siddhirganj 210 MW TPP,Steam Turbine,Gas,Haripur_230kV,115.0,39.46
Dhaka,Siddhirganj 2*120 MW GTPP,OCGT,Gas,Siddhirganj_132kV,210.0,34.94
Dhaka,Siddhirganj 335 MW CCPP,CCGT,Gas,Siddhirganj_230kV,335.0,21.79
Dhaka,Gagnagar 102 MW PP (Digital Power),ICE,HFO,Sitalakhya_132kV,102.0,40.53
Dhaka,Kamalaghat 54 MW PP(Banco Energy),ICE,HFO,Munshiganj_132kV,53.97,42.73
Dhaka,Kodda 150 MW PP BRPL,ICE,HFO,Kodda_132kV,149.36,39.27
Dhaka,Manikganj 55 MW PP (Northern),ICE,HFO,Savar_132kV,55.0,42.66
Dhaka,Nababganj 55 MW PP (Southern power ),ICE,HFO,Hasnabad_132kV,55.0,42.66
Dhaka,Summit Power Ashulia,ICE,Gas,Savar_132kV,33.75,34.76
Dhaka,Summit Power Madhabdi,ICE,Gas,Narsingdi_132kV,23.0,35.51
Dhaka,Gazipur 52 MW PP,ICE,HFO,Kodda_132kV,52.194,42.85
Dhaka,Tongi 80 MW GTPP,OCGT,Gas,Tongi_132kV,105.0,37.33
Dhaka,Kodda 300 MW PP Unit-2 (Summit),ICE,HFO,Tongi_230kV,300.0,37.07
Dhaka,Kodda 149 MW PP Unit-1 (Summit),ICE,HFO,Kodda_132kV,149.0,39.28
Dhaka,Gazipur 100 MW PP,ICE,HFO,Kodda_132kV,105.0,40.44
Dhaka,Meghnaghat 104 MW PP (OPCL),ICE,HFO,Sonargaon_132kV,104.0,40.47
Dhaka,Manikgonj 162MW PP(MPGL),ICE,HFO,Manikganj_132kV,162.0,39.01
Dhaka,Spectra Solar Plant Ltd.,Solar PV,Solar,Manikganj_132kV,35.0,0.0
Dhaka,Kanchan Purbachal Power Generation Ltd.,ICE,HFO,Purbachal_132kV,55.0,42.66
Dhaka,Unique Meghnaghat Power Limited (UMPL),CCGT,Gas,Meghnaghat_400kV,584.0,19.42
Dhaka,Meghnaghat CCPP(Summit)-2,CCGT,Gas/HSD,Meghnaghat_400kV,583.0,19.43
Dhaka,JERA Meghnaghat Power Limited,CCGT,Gas,Meghnaghat_400kV,718.0,18.6
Dhaka,Sreepur 150 MW PP BRPL,ICE,HFO,BarmiPP_132kV,160.0,39.05
Chattogram,Chattogram TPP,Steam Turbine,Gas,Raozan_230kV,360.0,35.79
Chattogram,Raozan 25 MW PP,ICE,HFO,Raozan_230kV,25.5,44.59
Chattogram,Teknaf  20MW PP (Solartech),Solar PV,Solar,Cox'sBazar_132kV,20.0,0.0
Chattogram,Patenga 50MW PP (Baraka),ICE,HFO,Halishahar_132kV,50.0,43.0
Chattogram,"Karnaphuli Hydro PP Unit-1,2,3,4, 5",Hydro,Hydro,Kaptai_132kV,230.0,1.5
Chattogram,Sikalbaha 225MW CCPP,CCGT,Gas/HSD,Sikalbaha_230kV,225.0,23.55
Chattogram,Sikalbaha Peaking GT,OCGT,Gas/HSD,Sikalbaha_132kV,150.0,36.08
Chattogram,Sikalbaha 105 MW PP (Baraka Sikalbaha),ICE,HFO,Sikalbaha_230kV,105.0,40.44
Chattogram,Hathazari 100 MW peaking PP,ICE,HFO,Hathazari_132kV,98.0,40.67
Chattogram,Dohazari -Kalaish 100 MW Peaking,ICE,HFO,Dohazari_132kV,102.0,40.53
Chattogram,Juldah 100 MW PP Unit-3 (Acorn),ICE,HFO,Juldah_132kV,100.0,40.6
Chattogram,"Malancha, Ctg. EPZ (United)",ICE,Gas,Halishahar_132kV,42.0,34.33
Chattogram,Chattogram 108 MW PP (ECPV),ICE,HFO,Sikalbaha_132kV,108.0,40.34
Chattogram,Kaptai 7 MW  Solar PP,Solar PV,Solar,Kaptai_132kV,6.0,0.0
Chattogram,Anwara 300 MW PP (United),ICE,HFO,Anwara_230kV,300.0,37.07
Chattogram,Zodiac Power,ICE,HFO,Sikalbaha_230kV,54.363,42.7
Chattogram,Karnaphuli Power Ltd.,ICE,HFO,Sikalbaha_230kV,110.0,40.28
Chattogram,Juldah unit-2 (Acorn),ICE,HFO,Juldah_132kV,100.0,40.6
Chattogram,Anlima Energy Ltd.,ICE,HFO,Sikalbaha_230kV,116.0,40.1
Chattogram,Mirsharai 150 MW BRPL,ICE,HFO/Gas,Mirsarai_230kV,163.0,38.99
Chattogram,SS Power,Steam Turbine,Coal,Banskhali_400kV,1224.0,20.73
Chattogram,Cox's Bazar Wind,Wind,Wind,USDKWindFarm_132kV,60.0,0.0
Chattogram,Matarbari 2*600 MW (CPGCBL),Steam Turbine,Coal,Matarbari_400kV,1150.0,20.95
Cumilla,Ashuganj CCPP 225 MW,CCGT,Gas,Ashuganj_132kV,221.0,23.63
Cumilla,Ashuganj 450 MW CCPP(North),CCGT,Gas,AshuganjNorth_400kV,350.01,21.6
Cumilla,Ashuganj 450 MW CCPP(South),CCGT,Gas,Ashuganj_230kV,342.01,21.7
Cumilla,Ashuganj 420 MW CCPP(East),CCGT,Gas,Ashuganj_230kV,393.0,21.09
Cumilla,Ashuganj TSK 50 MW PP,ICE,Gas,Ashuganj_132kV,46.701,34.13
Cumilla,Ashuganj 55 MW PP (Precision),ICE,Gas,Ashuganj_132kV,52.824,33.78
Cumilla,Ashuganj 195 MW PP (APSCL-United),ICE,Gas,Ashuganj_230kV,195.0,28.9
Cumilla,Ashuganj 51 MW PP (Midland),ICE,Gas,Ashuganj_230kV,51.0,33.92
Cumilla,Ashuganj 150MW PP (Midland),ICE,HFO,Ashuganj_230kV,150.0,39.26
Cumilla,Titas 50 MW Peaking PP,ICE,HFO,DaudkandiPP_132kV,52.0,42.86
Cumilla,Chandpur 150 MW CCPP,CCGT,Gas,Chandpur_132kV,163.0,25.08
Cumilla,Chandpur 200MW (Desh energy),ICE,HFO,DeshPP_132kV,200.0,38.33
Cumilla,Jangalia 52 MW PP (Lakdanavi),ICE,HFO,CumillaSouth_132kV,52.2,42.85
Cumilla,Cumilla 25 MW PP (Summit),ICE,Gas,CumillaNorth_132kV,25.0,35.34
Cumilla,Feni Lanka Power,ICE,HFO,Feni_132kV,114.0,40.16
Cumilla,Chowmuhani 113 MW,ICE,HFO,Chowmuhani_132kV,113.0,40.19
Cumilla,Chandpur 115(Doreen),ICE,HFO,Chandpur_132kV,115.0,40.13
Cumilla,Sonagazi 75 MW (AC) Solar Power Plant,Solar PV,Solar,Sonagazi_230kV,75.0,0.0
Mymensingh,RPCL 210MW CCPP,CCGT,Gas,RPCLPP_132kV,210.0,23.87
Mymensingh,Sarishabari 3 MW Solar Plant,Solar PV,Solar,Jamalpur_132kV,2.71,0.0
Mymensingh,Mymensingh 200 MW PP (United),ICE,HFO,UnitedPP_132kV,200.0,38.33
Mymensingh,Jamalpur 115 MW PP (United),ICE,HFO,UnitedPP_132kV,115.0,40.13
Mymensingh,Sutiakhali 50 MW Solar PP,Solar PV,Solar,Mymensingh_132kV,50.0,0.0
Mymensingh,Tangail Palli Power Gen 22 MW,ICE,HFO,Tangail_132kV,22.0,44.95
Mymensingh,Bhairab 54.5 MW,ICE,HFO,Kishoreganj_132kV,54.5,42.69
Sylhet,Moulvibazar 10 MW Solar Power Plant,Solar PV,Solar,Srimangal_132kV,0.0,
Sylhet,Fenchugonj CCPP Phase-1,CCGT,Gas,Fenchuganj_132kV,90.0,28.18
Sylhet,Fenchugonj CCPP Phase-2,CCGT,Gas,Fenchuganj_132kV,90.0,28.18
Sylhet,Kushiara 163 MW CCPP (KP),CCGT,Gas,Fenchuganj_230kV,163.0,25.08
Sylhet,Shajibazar 330 MW CCPP,CCGT,Gas,Shahjibazar_230kV,330.0,21.85
Sylhet,Shahjibazar GTPP Unit- 8 & 9,OCGT,Gas,Shahjibazar_132kV,66.0,39.33
Sylhet,Shahjibazar 86MW PP (Shahjibazar),ICE,Gas,Shahjibazar_132kV,86.0,31.87
Sylhet,Shahjibazar 100 MW GTPP,OCGT,Gas,Shahjibazar_132kV,100.0,37.5
Sylhet,Sylhet 225 MW CCPP,CCGT,Gas,Sylhet_132kV,231.0,23.43
Sylhet,Sylhet  20 MW GTPP,OCGT,Gas,Sylhet_132kV,20.0,45.09
Sylhet,Shahjahanulla 25 MW PP,ICE,Gas,Sylhet_132kV,25.0,35.34
Sylhet,Bibiana-II 341 MW CCPP (Summit),CCGT,Gas,Bibiyana_400kV,341.0,21.71
Sylhet,Bibiyana-III 400 MW CCPP,CCGT,Gas,Bibiyana_400kV,400.0,21.01
Sylhet,Bibiyana South 400 MW,CCGT,Gas,Bibiyana_400kV,383.0,21.2
Khulna,Bheramara GTPP Unit-3,OCGT,HSD,Bheramara_132kV,16.0,96.72
Khulna,Faridpur 50 MW Peaking PP,ICE,HFO,Faridpur_132kV,54.0,42.73
Khulna,Khulna 225 MW CCPP,CCGT,HSD/Gas,KhulnaCentral_132kV,230.0,40.45
Khulna,Gopalganj 100 MW Peaking PP,ICE,HFO,Gopalganj_132kV,109.0,40.31
Khulna,Bheramara 410 MW CCPP,CCGT,Gas,Bheramara_132kV,410.0,20.9
Khulna,Rupsha 105 MW PP (Orion rupsha),ICE,HFO,LabancharaPP_132kV,105.0,40.44
Khulna,Madhumati 100 MW PP,ICE,HFO,Gopalganj_132kV,105.0,40.44
Khulna,Mongla Orion 100 MW Solar PP,Solar PV,Solar,Mongla_132kV,100.0,0.0
Khulna,Khulna 330 MW CCPP,CCGT,HSD/Gas,Goalpara_132kV,336.0,38.08
Khulna,Rampal 1320 MW (BIFPCL),Steam Turbine,Coal,Rampal_400kV,1234.2,20.7
Barishal,Patuakhali 1320 MW (RNPL),Steam Turbine,Coal,RNPL_400kV,1244.0,20.68
Barishal,Barisal 110 MW PP (Summit ),ICE,HFO,Barishal_132kV,110.0,40.28
Barishal,Bhola  33 MW PP (Venture),ICE,Gas,Borhanuddin_230kV,11.04,36.99
Barishal,Bhola 225 MW  CCPP,CCGT,Gas,Borhanuddin_230kV,194.0,24.24
Barishal,Payra 1320 MW,Steam Turbine,Coal,PayraPP_400kV,1244.0,20.68
Barishal,Bhola Nutan Biddut BD LTD,CCGT,Gas/HSD,Borhanuddin_230kV,220.0,23.65
Barishal,United Payra Power Ltd.,ICE,HFO,Patuakhali_132kV,150.0,39.26
Barishal,Barisal 307 MW,Steam Turbine,Coal,Barishal307MWPP_400kV,307.0,26.0
Barishal,Barisal 1 MW Solar Plant,Solar PV,Solar,Barishal_132kV,1.0,0.0
Rajshahi,Pabna 64 MW Solar Plant,Solar PV,Solar,Pabna64MWSolarPP_132kV,64.55,0.0
Rajshahi,Baghabari 71 MW GTPP,OCGT,Gas,Baghabari_132kV,70.0,39.06
Rajshahi,Baghabari  100 MW GTPP,OCGT,Gas,Baghabari_132kV,100.0,37.5
Rajshahi,Baghabari  50 MW Peaking PP,ICE,HFO,Baghabari_132kV,52.0,42.86
Rajshahi,Bera 70 MW Peaking PP,ICE,HFO,BeraPP_132kV,71.0,41.77
