PP Name,Technology,Fuel,Present Capacity (MW)/p_nom,marginal_cost_gas,marginal_cost_hfo,marginal_cost_hsd,marginal_cost_coal,marginal_cost_solar,marginal_cost_wind,marginal_cost_hydro
Ghorasal Repowered CCPP Unit-3,CCGT,Gas,260.0,22.89,,,,,,
Ghorasal Repowered CCPP Unit-4,CCGT,Gas,240.0,23.26,,,,,,
Ghorasal TPP Unit-5,OCGT,Gas,190.0,35.27,,,,,,
Ghorasal 365 MW CCPP Unit-7,CCGT,Gas,365.0,21.41,,,,,,
Ghorashal 108 MW PP (Regent),ICE,Gas,97.7,31.39,,,,,,
Haripur GTPP,OCGT,Gas,20.0,45.09,,,,,,
Haripur 412 MW CCPP,CCGT,Gas,412.0,20.88,,,,,,
Meghnaghat 450 MW CCPP (MPL),CCGT,Gas,450.0,20.5,,,,,,
Meghnaghat CCPP(Summit),CCGT,Gas,335.0,21.79,,,,,,
Madanganj-55 MW PP(Summit),ICE,HFO,55.0,,42.66,,,,,
Siddhirgonj 210 MW TPP,Steam Turbine,Gas,115.0,39.46,,,,,,
Siddhirgonj 2*120 MW GTPP,OCGT,Gas,210.0,34.94,,,,,,
Siddhirganj 335 MW CCPP,CCGT,Gas,335.0,21.79,,,,,,
Gagnagar 102 MW PP (Digital Power),ICE,HFO,102.0,,40.53,,,,,
Kamalaghat 54 MW PP(Banco Energy),ICE,HFO,53.97,,42.73,,,,,
Kodda 150 MW PP BRPL,ICE,HFO,149.36,,39.27,,,,,
Manikganj 55 MW PP (Northern),ICE,HFO,55.0,,42.66,,,,,
Nababganj 55 MW PP (Southern power ),ICE,HFO,55.0,,42.66,,,,,
Summit Power Ashulia,ICE,Gas,33.75,34.76,,,,,,
Summit Power Madhabdi,ICE,Gas,23.0,35.51,,,,,,
Gazipur 52 MW PP,ICE,HFO,52.194,,42.85,,,,,
Tongi 80 MW GTPP,OCGT,Gas,105.0,37.33,,,,,,
Kodda 300 MW PP Unit-2 (Summit),ICE,HFO,300.0,,37.07,,,,,
Kodda 149 MW PP Unit-1 (Summit),ICE,HFO,149.0,,39.28,,,,,
Gazipur 100 MW PP,ICE,HFO,105.0,,40.44,,,,,
Meghnaghat 104 MW PP (OPCL),ICE,HFO,104.0,,40.47,,,,,
Manikgonj 162MW PP(MPGL),ICE,HFO,162.0,,39.01,,,,,
Spectra Solar Plant Ltd.,Solar PV,Solar,35.0,,,,,0.0,,
Kanchan Purbachal Power Generation Ltd.,ICE,HFO,55.0,,42.66,,,,,
Unique Meghnaghat Power Limited (UMPL),CCGT,Gas,584.0,19.42,,,,,,
Meghnaghat CCPP(Summit)-2,CCGT,Gas/HSD,583.0,19.43,,32.26,,,,
JERA Meghnaghat Power Limited,CCGT,Gas,718.0,18.6,,,,,,
Sreepur 150 MW PP BRPL,ICE,HFO,160.0,,39.05,,,,,
Chattogram TPP,Steam Turbine,Gas,360.0,35.79,,,,,,
Raozan 25 MW PP,ICE,HFO,25.5,,44.59,,,,,
Teknaf  20MW PP (Solartech),Solar PV,Solar,20.0,,,,,0.0,,
Patenga 50MW PP (Baraka),ICE,HFO,50.0,,43.0,,,,,
"Karnaphuli Hydro PP Unit-1,2,3,4, 5",Hydro,Hydro,230.0,,,,,,,1.5
Sikalbaha 225MW CCPP,CCGT,Gas/HSD,225.0,23.55,,40.59,,,,
Sikalbaha Peaking GT,OCGT,Gas/HSD,150.0,36.08,,67.11,,,,
Sikalbaha 105 MW PP (Baraka Sikalbaha),ICE,HFO,105.0,,40.44,,,,,
Hathazari 100 MW peaking PP,ICE,HFO,98.0,,40.67,,,,,
Dohazari -Kalaish 100 MW Peaking,ICE,HFO,102.0,,40.53,,,,,
Juldah 100 MW PP Unit-3 (Acorn),ICE,HFO,100.0,,40.6,,,,,
"Malancha, Ctg. EPZ (United)",ICE,Gas,42.0,34.33,,,,,,
Chattogram 108 MW PP (ECPV),ICE,HFO,108.0,,40.34,,,,,
Kaptai 7 MW  Solar PP,Solar PV,Solar,6.0,,,,,0.0,,
Anwara 300 MW PP (United),ICE,HFO,300.0,,37.07,,,,,
Jodiac Power,ICE,HFO,54.363,,42.7,,,,,
Karnaphuli Power Ltd.,ICE,HFO,110.0,,40.28,,,,,
Juldah unit-2 (Acorn),ICE,HFO,100.0,,40.6,,,,,
Anlima Energy Ltd.,ICE,HFO,116.0,,40.1,,,,,
Mirsharai 150 MW BRPL,ICE,HFO/Gas,163.0,29.53,38.99,,,,,
SS Power,Steam Turbine,Coal,1224.0,,,,20.73,,,
Cox's Bazar Wind,Wind,Wind,60.0,,,,,,0.0,
Matarbari 2*600 MW (CPGCBL),Steam Turbine,Coal,1150.0,,,,20.95,,,
Ashuganj CCPP 225 MW,CCGT,Gas,221.0,23.63,,,,,,
Ashuganj 450 MW CCPP(North),CCGT,Gas,350.01,21.6,,,,,,
Ashuganj 450 MW CCPP(South),CCGT,Gas,342.01,21.7,,,,,,
Ashuganj 420 MW CCPP(East),CCGT,Gas,393.0,21.09,,,,,,
Ashuganj TSK 50 MW PP,ICE,Gas,46.701,34.13,,,,,,
Ashuganj 55 MW PP (Precision),ICE,Gas,52.824,33.78,,,,,,
Ashuganj 195 MW PP (APSCL-United),ICE,Gas,195.0,28.9,,,,,,
Ashuganj 51 MW PP (Midland),ICE,Gas,51.0,33.92,,,,,,
Ashuganj 150MW PP (Midland),ICE,HFO,150.0,,39.26,,,,,
Titas 50 MW Peaking PP,ICE,HFO,52.0,,42.86,,,,,
Chandpur 150 MW CCPP,CCGT,Gas,163.0,25.08,,,,,,
Chandpur 200MW (Desh energy),ICE,HFO,200.0,,38.33,,,,,
Import (Tripura),Import,Import,160.0,,,,,,,
Jangalia 52 MW PP (Lakdanavi),ICE,HFO,52.2,,42.85,,,,,
Cumilla 25 MW PP (Summit),ICE,Gas,25.0,35.34,,,,,,
Feni Lanka Power,ICE,HFO,114.0,,40.16,,,,,
Chowmuhani 113 MW,ICE,HFO,113.0,,40.19,,,,,
Chandpur 115(Doreen),ICE,HFO,115.0,,40.13,,,,,
Sonagazi 75 MW (AC) Solar Power Plant,Solar PV,Solar,75.0,,,,,0.0,,
RPCL 210MW CCPP,CCGT,Gas,210.0,23.87,,,,,,
Sarishabari 3 MW Solar Plant,Solar PV,Solar,2.71,,,,,0.0,,
Mymensingh 200 MW PP (United),ICE,HFO,200.0,,38.33,,,,,
Jamalpur 115 MW PP (United),ICE,HFO,115.0,,40.13,,,,,
Sutiakhali 50 MW Solar PP,Solar PV,Solar,50.0,,,,,0.0,,
Tangail Palli Power Gen 22 MW,ICE,HFO,22.0,,44.95,,,,,
Bhairob 54.5 MW,ICE,HFO,54.5,,42.69,,,,,
Moulvibazar 10 MW Solar Power Plant,Solar PV,Solar,0.0,,,,,,,
Fenchugonj CCPP Phase-1,CCGT,Gas,90.0,28.18,,,,,,
Fenchugonj CCPP Phase-2,CCGT,Gas,90.0,28.18,,,,,,
Kushiara 163 MW CCPP (KP),CCGT,Gas,163.0,25.08,,,,,,
Shajibazar 330 MW CCPP,CCGT,Gas,330.0,21.85,,,,,,
Shahjibazar GTPP Unit- 8 & 9,OCGT,Gas,66.0,39.33,,,,,,
Shahjibazar 86MW PP (Shahjibazar),ICE,Gas,86.0,31.87,,,,,,
Shahjibazar 100 MW GTPP,OCGT,Gas,100.0,37.5,,,,,,
Sylhet 225 MW CCPP,CCGT,Gas,231.0,23.43,,,,,,
Sylhet  20 MW GTPP,OCGT,Gas,20.0,45.09,,,,,,
Shahjahanulla 25 MW PP,ICE,Gas,25.0,35.34,,,,,,
Bibiana-II 341 MW CCPP (Summit),CCGT,Gas,341.0,21.71,,,,,,
Bibiyana-III 400 MW CCPP,CCGT,Gas,400.0,21.01,,,,,,
Bibiyana South 400 MW,CCGT,Gas,383.0,21.2,,,,,,
Bheramara GTPP Unit-3,OCGT,HSD,16.0,,,96.72,,,,
Bheramara (HVDC ),Import,Import,1000.0,,,,,,,
Faridpur 50 MW Peaking PP,ICE,HFO,54.0,,42.73,,,,,
Khulna 225 MW CCPP,CCGT,HSD/Gas,230.0,23.45,,40.45,,,,
Gopalganj 100 MW Peaking PP,ICE,HFO,109.0,,40.31,,,,,
Bheramara 410 MW CCPP,CCGT,Gas,410.0,20.9,,,,,,
Rupsha 105 MW PP (Orion rupsha),ICE,HFO,105.0,,40.44,,,,,
